# Yamalo - Nenets Autonomous Okrug
> Demographics

|  | Average population (x 1000) | Live births | Deaths | Natural change | Crude birth rate (per 1000) | Crude death rate (per 1000) | Natural change (per 1000) |
| --- | --- | --- | --- | --- | --- | --- |
| 1970 | 84 | 1 683 | 879 | 804 | 20.0 | 10.5 | 9.6 |
| 1975 | 127 | 2 307 | 819 | 1 488 | 18.2 | 6.4 | 11.7 |
| 1980 | 194 | 3 347 | 1 178 | 2 169 | 17.3 | 6.1 | 11.2 |
| 1985 | 374 | 7 838 | 1 555 | 6 283 | 21.0 | 4.2 | 16.8 |
| 1990 | 489 | 8 032 | 1 631 | 6 401 | 16.4 | 3.3 | 13.1 |
| 1991 | 483 | 7 121 | 1 623 | 5 498 | 14.7 | 3.4 | 11.4 |
| 1992 | 470 | 6 123 | 2 108 | 4 015 | 13.0 | 4.5 | 8.5 |
| 1993 | 466 | 5 697 | 2 764 | 2 933 | 12.2 | 5.9 | 6.3 |
| 1994 | 473 | 6 274 | 2 998 | 3 276 | 13.3 | 6.3 | 6.9 |
| 1995 | 483 | 6 337 | 3 107 | 3 230 | 13.1 | 6.4 | 6.7 |
| 1996 | 489 | 6 241 | 3 004 | 3 237 | 12.8 | 6.1 | 6.6 |
| 1997 | 495 | 6 208 | 2 715 | 3 493 | 12.5 | 5.5 | 7.1 |
| 1998 | 498 | 6 395 | 2 544 | 3 851 | 12.8 | 5.1 | 7.7 |
| 1999 | 498 | 6 071 | 2 608 | 3 463 | 12.2 | 5.2 | 7.0 |
| 2000 | 497 | 5 839 | 2 763 | 3 076 | 11.7 | 5.6 | 6.2 |
| 2001 | 501 | 6 388 | 3 057 | 3 331 | 12.8 | 6.1 | 6.7 |
| 2002 | 506 | 6 635 | 2 934 | 3 701 | 13.1 | 5.8 | 7.3 |
| 2003 | 510 | 7 163 | 3 093 | 4 070 | 14.1 | 6.1 | 8.0 |
| 2004 | 511 | 7 264 | 2 975 | 4 289 | 14.2 | 5.8 | 8.4 |
| 2005 | 512 | 7 148 | 3 099 | 4 049 | 14.0 | 6.0 | 7.9 |
| 2006 | 513 | 7 036 | 3 000 | 4 036 | 13.7 | 5.8 | 7.9 |
| 2007 | 515 | 7 700 | 2 937 | 4 763 | 14.9 | 5.7 | 9.2 |
| 2008 | 517 | 7 892 | 2 959 | 4 933 | 15.3 | 5.7 | 9.5 |
| 2009 | 519 | 8 216 | 2 924 | 5 292 | 15.8 | 5.6 | 10.2 |
| 2010 | 522 | 8 263 | 2 873 | 5 390 | 15.8 | 5.5 | 10.3 |
