# Seljuk Empire
> List of sultans of the Great Seljuq Empire

| # | Laqab | Throne name | Reign | Marriages | Succession right |
| --- | --- | --- | --- | --- | --- |
| 1 | Rukn ad-Dunya wa ad-Din رکن الدنیا والدین, | Toghrul-Beg | 1037–1063 | 1) Altun Jan Khatun (2) Aka Khatun (3) Fulana Khatun (daughter of Abu Kalijar ) (4) Seyyidah Khatun (daughter of Al-Qa'im , Abbasid caliph ) (5) Fulana Khatun (widow of Chaghri Beg ) | son of Mikail (grandson of Seljuq) |
| 2 | Diya ad-Dunya wa ad-Din Adud ad-Dawlah ضياء الدنيا و الدين عضد الدولة | Alp Arslan | 1063–1072 | 1) Aka Khatun (widow of Toghrul I ) (2) Safariyya Khatun (daughter of Yusuf Qadir Khan , Khagan of Kara-Khanid ) (3) Fulana Khatun (daughter of Smbat Lorhi ) (4) Fulana Khatun (daughter of Kurtchu bin Yunus bin Seljuk ) | son of Chaghri |
| 3 | Muizz ad-Dunya wa ad-Din Jalal ad-Dawlah معز الدین جلال الدولہ | Malik-Shah I | 1072–1092 | 1) Turkan Khatun (daughter of Ibrahim Tamghach Khan , Khagan of Western Kara-Khanid ) (2) Zubeida Khatun (daughter of Yaquti ibn Chaghri ) (3) Safariyya Khatun (daughter of Isa Khan, Sultan of Samarkand) (4) Fulana Khatun (daughter of Romanos IV Diogenes ) | son of Alp Arslan |
| 4 | Nasir ad-Dunya wa ad-Din ناصر الدنیا والدین | Mahmud I | 1092–1094 |  | son of Malik-Shah I |
| 5 | Rukn ad-Dunya wa ad-Din رکن الدنیا والدین | Barkiyaruq | 1094–1105 |  | son of Malik-Shah I |
| 6 | Rukn ad-Dunya wa ad-Din Jalal ad-Dawlah رکن الدنیا والدین جلال الدولہ | Malik-Shah II | 1105 |  | son of Barkiyaruq |
| 7 | Ghiyath ad-Dunya wa ad-Din غیاث الدنیا والدین | Tapar | 1105–1118 | 1) Nisandar Jihan Khatun (2) Gouhar Khatun (daughter of Isma'il bin Yaquti ) (3) Fulana Khatun (daughter of Aksungur Beg ) | son of Malik-Shah I |
| 8 | Mughith ad-Dunya wa ad-Din Jalal ad-Dawlah مُغيث الدنيا و الدين جلال الدولة | Mahmud II | 1118–1131 | 1) Mah-i Mulk Khatun (died 1130) (daughter of Sanjar ) (2) Amir Siti Khatun (daughter of Sanjar ) (3) Ata Khatun (daughter of Ali bin Faramarz ) | son of Muhammad I |
| 9 | Muizz ad-Dunya wa ad-Din Adud ad-Dawlah مُعز الدنيا و الدين جلال الدولة | Sanjar | 1118–1153 | 1) Turkan Khatun (daughter of Muhammad Arslan Khan , Khagan of Western Kara-Khanid ) (2) Rusudan Khatun (daughter of Demetrius I of Georgia ) (3) Gouhar Khatun (daughter of Isma'il bin Yaquti , widow of Tapar ) (4) Fulana Khatun (daughter of Arslan Khan, a Qara Khitai prisoner) | son of Malik-Shah I |
| 10 | Ghiyath ad-Dunya wa ad-Din غیاث الدنیا والدین | Dawud | 1131–1132 | Gouhar Khatun (daughter of Masud ) | son of Mahmud II |
| 11 | Rukn ad-Dunya wa ad-Din رکن الدنیا والدین | Toghrul II | 1132–1135 | 1) Mumine Khatun (mother of Arslan-Shah ) (2) Zubeida Khatun (daughter of Barkiyaruq ) | son of Muhammad I |
| 12 | Ghiyath ad-Dunya wa ad-Din غیاث الدنیا والدین | Masud | 1135–1152 | 1) Gouhar Nasab Khatun (daughter of Sanjar ) (2) Zubeida Khatun (daughter of Barkiyaruq , widow of Toghrul II ) (3) Mustazhiriyya Khatun (daughter of Qawurd ) (4) Sufra Khatun (daughter of Dubais ) (5) Arab Khatun (daughter of Al-Muqtafi ) (6) Ummiha Khatun (daughter of Amid ud-Deula bin Juhair ) (7) Abkhaziyya Khatun (daughter of David IV of Georgia ) (8) Sultan Khatun (mother of Malik-Shah III ) | son of Muhammad I |
| 13 | Muin ad-Dunya wa ad-Din مُعين الدنيا و الدين | Malik-Shah III | 1152–1153 |  | son of Mahmud II |
