# Gender-Diverse Characters in Screen Media (with broader LGBT entries)

| Character | Film/TV Title | Identity Label Used in Sources | Media Type | Notes |
| --- | --- | --- | --- | --- |
| Sophia Burset | Orange Is the New Black | Transgender woman | TV series | Incarcerated trans woman storyline |
| Nomi Marks | Sense8 | Transgender woman | TV series | Played by a trans actress |
| Jules Vaughn | Euphoria | Transgender girl | TV series | Central teen character |
| Maura Pfefferman | Transparent | Transgender woman | TV series | Family dramedy focused on transition |
| Viktor Hargreeves | The Umbrella Academy | Trans man | TV series | Transition depicted in later seasons |
| David Rose | Schitt's Creek | Pansexual | TV series | Orientation-only entry |
| Willow Rosenberg | Buffy the Vampire Slayer | Lesbian | TV series | Orientation-only entry |
| Omar Little | The Wire | Gay | TV series | Orientation-only entry |
| Rosa Diaz | Brooklyn Nine-Nine | Bisexual | TV series | Orientation-only entry |
