# Irish Surname Etymology and Variants (Gaelic forms referenced in narrative notes only)

| Modern Surname | Variant Spellings | Anglicization Pattern | Origin Region | Commentary |
|---|---|---|---|---|
| Murphy | Murphey, Morphy | Phonetic | Leinster | Often derived from an Ó- surname in Irish sources |
| Kelly | Kelley, O'Kelly | Prefix loss | Connacht | Irish form is commonly cited in genealogical guides |
| O'Brien | Brien, Bryan | Vowel shift | Munster | Sometimes shown with fada marks in Irish texts |
| Byrne | O'Byrne, Beirne | Prefix loss | Leinster | Distinct from Beirne in some registries |
| Ryan | O'Ryan, Rian | Simplification | Tipperary | Related Irish spellings appear in older church records |
| Walsh | Walshe | Orthographic | Nationwide | Historically used for people of Welsh origin |
| Smith | Smyth, Smythe | Orthographic | Dublin/Ulster | Irish-language form is occasionally listed but varies by source |
| Farrell | O'Farrell, Farrel | Prefix loss | Longford | Multiple septs; Irish spelling differs by branch |
| Doherty | Docherty, Dougherty | Phonetic | Donegal | Irish form frequently mentioned in Ulster histories |
| Fitzgerald | FitzGerald, Gerald | Norman prefix | Munster | Not originally Gaelic; Irish rendering sometimes supplied in Irish-language works |
