# Top Certificate of Deposit (CD) Rates by Term (Online & National Banks)

| CD Term | Institution | Product Name | APY | Minimum Deposit | Early Withdrawal Penalty (typical) |
| --- | --- | --- | --- | --- | --- |
| 3 months | HarborPoint Bank (FDIC) | Standard CD | 4.10% | $500 | 30 days interest |
| 6 months | RiverStone Online Bank (FDIC) | High-Yield CD | 4.35% | $1,000 | 90 days interest |
| 9 months | NorthGate Federal CU (NCUA) | Share Certificate | 4.40% | $250 | 90 days interest |
| 12 months | SummitDirect Bank (FDIC) | 1-Year CD | 4.55% | $1,500 | 180 days interest |
| 18 months | BluePeak Bank (FDIC) | 18-Month CD | 4.60% | $1,000 | 180 days interest |
| 24 months | Cedar Valley Bank (FDIC) | 2-Year CD | 4.50% | $2,500 | 180 days interest |
| 36 months | Lakeside Savings (FDIC) | 3-Year CD | 4.35% | $1,000 | 365 days interest |
| 48 months | GraniteTrust Bank (FDIC) | 4-Year CD | 4.25% | $5,000 | 365 days interest |
| 60 months | Prairie National Bank (FDIC) | 5-Year CD | 4.20% | $500 | 365 days interest |
