# TeX Input Notation for Printable Symbols (Symbol to Markup)

| Symbol | TeX Command | LaTeX Package Hint | Meaning |
|---|---|---|---|
| € | \euro | eurosym or textcomp | Euro sign |
| © | \copyright | (base) | Copyright sign |
| ® | \textregistered | textcomp | Registered sign |
| ™ | \texttrademark | textcomp | Trademark sign |
| ± | \pm | (base) | Plus-minus |
| ÷ | \div | (base) | Division |
| × | \times | (base) | Multiplication |
| ≤ | \leq | (base) | Less-than or equal |
| ≥ | \geq | (base) | Greater-than or equal |
| ∑ | \sum | (base) | Summation |
