# 1962 NBA draft
> Draft

| Round | Pick | Player | Pos. | Nationality | Team | School/club team |
| --- | --- | --- | --- | --- | --- | --- |
| 0 T | 00 – | DeBusschere, Dave Dave DeBusschere ^ | G/F | United States | Detroit Pistons | Detroit |
| 0 T | 00 – | Lucas, Jerry Jerry Lucas ^ | F/C | United States | Cincinnati Royals | Ohio State |
| 1 | 0 1 | McGill, Bill Bill McGill | F/C | United States | Chicago Zephyrs | Utah |
| 1 | 0 2 | Hogue, Paul Paul Hogue | C | United States | New York Knicks | Cincinnati |
| 1 | 0 3 | Beaty, Zelmo Zelmo Beaty ^ | C | United States | St. Louis Hawks | Prairie View A&M |
| 1 | 0 4 | Chappell, Len Len Chappell + | F/C | United States | Syracuse Nationals | Wake Forest |
| 1 | 0 5 | Hightower, Wayne Wayne Hightower | F/C | United States | Philadelphia Warriors | Real Madrid ( Spain ) [21] |
| 1 | 0 6 | Ellis, LeRoy LeRoy Ellis | F/C | United States | Los Angeles Lakers | St. John's |
| 1 | 0 7 | Havlicek, John John Havlicek ^ | G/F | United States | Boston Celtics | Ohio State |
| 2 | 0 8 | Dischinger, Terry Terry Dischinger + | G/F | United States | Chicago Zephyrs | Purdue |
| 2 | 0 9 | Rudometkin, John John Rudometkin | F | United States | New York Knicks | USC |
| 2 | 10 | Duffy, Bob Bob Duffy | G | United States | St. Louis Hawks | Colgate |
| 2 | 11 | Loughery, Kevin Kevin Loughery | G | United States | Detroit Pistons | St. John's |
| 2 | 12 | Walker, Chet Chet Walker ^ | G/F | United States | Syracuse Nationals | Bradley |
| 2 | 13 | Olsen, Bud Bud Olsen | F/C | United States | Cincinnati Royals | Louisville |
| 2 | 14 | White, Hubie Hubie White | G/F | United States | Philadelphia Warriors | Villanova |
| 2 | 15 | Wiley, Gene Gene Wiley | C | United States | Los Angeles Lakers | Wichita |
| 2 | 16 | Foley, Jack Jack Foley | F | United States | Boston Celtics | Holy Cross |
