# 2020–2024 College Football Bowl Games (Selected Matchups by Season)

| Season | Bowl Game | Winning Team | Losing Team | Score | Site |
|---|---|---|---|---|---|
| 2020 | Rose Bowl | Alabama | Notre Dame | 31–14 | Arlington, TX |
| 2020 | Sugar Bowl | Ohio State | Clemson | 49–28 | New Orleans, LA |
| 2020 | Peach Bowl | Georgia | Cincinnati | 24–21 | Atlanta, GA |
| 2021 | Citrus Bowl | LSU | Purdue | 63–7 | Orlando, FL |
| 2021 | Fiesta Bowl | Oklahoma State | Notre Dame | 37–35 | Glendale, AZ |
| 2022 | Cotton Bowl | Tulane | USC | 46–45 | Arlington, TX |
| 2022 | Orange Bowl | Tennessee | Clemson | 31–14 | Miami Gardens, FL |
| 2023 | Rose Bowl | Michigan | Alabama | 27–20 | Pasadena, CA |
| 2023 | Sugar Bowl | Washington | Texas | 37–31 | New Orleans, LA |
| 2024 | Citrus Bowl | Iowa | Missouri | 21–14 | Orlando, FL |
