# Presidents of the Continental Congress  Terms and Major Offices Held

| # | Name | Colony/State | Term as President | Other notable offices (later) |
|---:|---|---|---|---|
| 1 | Peyton Randolph | Virginia | 1774 | Speaker of the House of Burgesses |
| 2 | Henry Middleton | South Carolina | 1774 | Provincial leader; planter |
| 3 | John Hancock | Massachusetts | 1775–1777 | First Governor of Massachusetts |
| 4 | Henry Laurens | South Carolina | 1777–1778 | U.S. Minister to the Netherlands |
| 5 | John Jay | New York | 1778–1779 | First Chief Justice of the United States |
| 6 | Samuel Huntington | Connecticut | 1779–1781 | Governor of Connecticut |
| 7 | Thomas McKean | Delaware | 1781 | Governor of Pennsylvania |
| 8 | John Hanson | Maryland | 1781–1782 | Maryland politician |
| 9 | Elias Boudinot | New Jersey | 1782–1783 | Director, U.S. Mint |
| 10 | Thomas Mifflin | Pennsylvania | 1783–1784 | Governor of Pennsylvania |
| 11 | Richard Henry Lee | Virginia | 1784–1785 | U.S. Senator from Virginia |
| 12 | John Hancock | Massachusetts | 1785–1786 | Governor of Massachusetts |
| 13 | Nathaniel Gorham | Massachusetts | 1786 | Constitutional Convention delegate |
| 14 | Arthur St. Clair | Pennsylvania | 1787 | Governor of the Northwest Territory |
| 15 | Cyrus Griffin | Virginia | 1788 | Federal judge (U.S. District Court) |
