# Guitar Hero World Tour — Setlist with Platforms, DLC Availability, and ESRB Notes

| Song title | Artist | Year | On-disc | DLC available | Platforms (PS2/PS3/X360/Wii) | Content note |
| --- | --- | --- | --- | --- | --- | --- |
| "Beat It" | Michael Jackson | 1982 | Yes | No | Yes/Yes/Yes/Yes | Edited version |
| "Hotel California" | Eagles | 1976 | Yes | No | Yes/Yes/Yes/Yes | null |
| "Eye of the Tiger" | Survivor | 1982 | Yes | Yes | Yes/Yes/Yes/Yes | null |
| "Everlong" | Foo Fighters | 1997 | Yes | Yes | Yes/Yes/Yes/Yes | null |
| "Demolition Man" | Sting | 1993 | Yes | No | No/Yes/Yes/Yes | Regional tracklist diff. |
| "One Way or Another" | Blondie | 1978 | Yes | Yes | Yes/Yes/Yes/Yes | null |
| "Assassin" | Muse | 2006 | Yes | Yes | Yes/Yes/Yes/Yes | null |
| "The Kill" | Thirty Seconds to Mars | 2005 | Yes | Yes | Yes/Yes/Yes/Yes | null |
| "Viva la Resistance" | Hypernova | 2007 | Yes | No | Yes/Yes/Yes/Yes | null |
| "Scream Aim Fire" | Bullet for My Valentine | 2008 | Yes | Yes | Yes/Yes/Yes/Yes | null |
