# Mariana Islands
> List of islands

| Island name | Population | Municipality or territory |
| --- | --- | --- |
| Guam | 159,358 | Guam |
| Saipan | 48,220 | Saipan |
| Tinian | 3,136 | Tinian |
| Rota | 2,477 | Rota |
| Aguigan | 0 | Tinian |
| Farallon de Pajaros | 0 | Northern Islands |
| Maug Islands | 0 | Northern Islands |
| Asuncion | 0 | Northern Islands |
| Agrihan | 0 | Northern Islands |
| Pagan | 0 | Northern Islands |
| Alamagan | 0 | Northern Islands |
| Guguan | 0 | Northern Islands |
| Papaungan | 0 | Northern Islands |
| Sarigan | 0 | Northern Islands |
| Anatahan | 0 | Northern Islands |
| Farallon de Medinilla | 0 | Northern Islands |
