# BattleBots
> Episodes

| No. overall | No. in season | Original air date | Battle 1 | Battle 2 | Battle 3 | Battle 4 |
| --- | --- | --- | --- | --- | --- | --- |
| 53 | 1 | January 8, 2002 ( 2002-01-08 ) | Phrizbee vs. Deathstar (Heavyweight round of 64) | Ravager vs. T-Minus (Middleweight round of 64) | Fantom Thrust vs. The Probe (Super heavyweight round of 64) | Scrap Daddy Surplus vs. Wedge of Doom (Lightweight round of 32) |
| 54 | 2 | January 8, 2002 ( 2002-01-08 ) | TriMangle vs. Vladiator (Super heavyweight round of 32) | Sharkbyte vs. KillerB (Heavyweight round of 32) | Ziggo vs. SnowFlake (Lightweight round of 32) | N/A |
| 55 | 3 | January 15, 2002 ( 2002-01-15 ) | Ziggo vs. Serial Box Killer (Lightweight round of 16) | Eradicator vs. Swirlee (Super heavyweight round of 64) | Maximus vs. Pharmapac (Super heavyweight round of 64) | Toe-Crusher vs. Low Blow (Lightweight round of 32) |
| 56 | 4 | January 15, 2002 ( 2002-01-15 ) | Malvolio vs. Bad Attitude (Middleweight round of 32) | Bender vs. Little Sister (Heavyweight round of 64) | Tentoumushi 7.0 vs. Wedge of Doom (Lightweight round of 16) | N/A |
| 57 | 5 | January 22, 2002 ( 2002-01-22 ) | Surgeon General vs. FrostBite (Heavyweight round of 32) | Hazard vs. Timmy (Middleweight round of 32) | Short Order Chef vs. T-Minus (Middleweight round of 32) | Slap 'Em Silly vs. Mouser Classic Mecha-Catbot (Lightweight round of 32) |
| 58 | 6 | January 22, 2002 ( 2002-01-22 ) | El Diablo Grande vs. SlamJob (Heavyweight round of 64) | M.O.E. vs. PyRAMidroid (Heavyweight round of 64) | El Diablo vs. Turtle Road Kill (Middleweight round of 16) | N/A |
| 59 | 7 | January 29, 2002 ( 2002-01-29 ) | Son of Whyachi vs. Swirlee (Super heavyweight round of 32) | MechaVore vs. Towering Inferno (Heavyweight round of 32) | Afterthought vs. Slap 'Em Silly (Lightweight round of 16) | Carnage Raptor vs. Whirligig (Lightweight round of 32) |
| 60 | 8 | January 29, 2002 ( 2002-01-29 ) | Atomic Wedgie vs. Ogre (Super heavyweight round of 32) | Phrizbee vs. HexaDecimator (Heavyweight round of 32) | The Matador vs. Omega-13 (Heavyweight round of 32) | N/A |
| 61 | 9 | February 5, 2002 ( 2002-02-05 ) | Heavy Metal Noise vs. T-Minus (Middleweight round of 16) | Ziggo vs. Wedge of Doom (Lightweight Quarter-Finals) | Toro vs. Maximus (Super heavyweight round of 32) | N/A |
| 62 | 10 | February 5, 2002 ( 2002-02-05 ) | Ziggo vs. Death By Monkeys (Lightweight Semi-Finals) | Minion vs. No Apologies (Super heavyweight round of 32) | Hammertime vs. The Judge (Super heavyweight round of 32) | Ziggo vs. The Big B (Lightweight Finals) |
| 63 | 11 | February 12, 2002 ( 2002-02-12 ) | Toro vs. The Judge (Super heavyweight round of 16) | Ogre vs. Techno Destructo (Super heavyweight round of 16) | Junkyard Offspring vs. Nightmare (Heavyweight round of 32) | Ronin vs. Diesector (Super heavyweight round of 16) |
| 64 | 12 | February 12, 2002 ( 2002-02-12 ) | New Cruelty vs. Odin II (Super heavyweight round of 32) | Toro vs. Vladiator (Super heavyweight Quarter-Finals) | Techno Destructo vs. Diesector (Super heavyweight Quarter-Finals) | N/A |
| 65 | 13 | February 19, 2002 ( 2002-02-19 ) | Little Blue Engine vs. Toro (Super heavyweight Semi-Finals) | Stealth Terminator vs. Center Punch (Heavyweight round of 64) | Diesector vs. New Cruelty (Super heavyweight Semi-Finals) | N/A |
| 66 | 14 | February 19, 2002 ( 2002-02-19 ) | Toro vs. New Cruelty (Super heavyweight Finals) | Silverback vs. Agitator (Heavyweight round of 64) | Pack Raptors vs. SABotage (Middleweight round of 32) | N/A |
| 67 | 15 | February 26, 2002 ( 2002-02-26 ) | SABotage vs. Hazard (Middleweight round of 16) | Huggy Bear vs. Double Agent (Middleweight round of 32) | Mauler 51-50 vs. Jabberwock (Heavyweight round of 32) | Silverback vs. Tazbot (Heavyweight round of 32) |
| 68 | 16 | February 26, 2002 ( 2002-02-26 ) | Complete Control vs. Psychotron (Middleweight round of 16) | BattleRat vs. Nightmare (Heavyweight round of 16) | Bad Attitude vs. Complete Control (Middleweight Quarter-Finals) | N/A |
| 69 | 17 | March 5, 2002 ( 2002-03-05 ) | The Matador vs. M.O.E. (Heavyweight round of 16) | Hazard vs. El Diablo (Middleweight Quarter-Finals) | OverKill vs MechaVore (Heavyweight round of 16) | BioHazard vs. Nightmare (Heavyweight Quarter-Finals) |
| 70 | 18 | March 5, 2002 ( 2002-03-05 ) | KillerHurtz vs Little Sister (Heavyweight round of 32) | Sharkbyte vs HexaDecimator (Heavyweight round of 16) | SlamJob vs. frenZy (Heavyweight round of 32) | KillerHurtz vs. Surgeon General (Heavyweight round of 16) |
| 71 | 19 | March 12, 2002 ( 2002-03-12 ) | Heavy Metal Noise vs. Hazard (Middleweight Semi-Finals) | Complete Control vs. Zion (Middleweight Semi-Finals) | Surgeon General vs. HexaDecimator (Heavyweight Quarter-Finals) | Hazard vs. Complete Control (Middleweight Finals) |
| 72 | 20 | March 12, 2002 ( 2002-03-12 ) | Surgeon General vs. OverKill (Heavyweight Semi-Finals) | BioHazard vs. Tazbot (Heavyweight Semi-Finals) | BioHazard vs. OverKill (Heavyweight Finals) | N/A |
