# Largest Airlines by Revenue (Global) — Ranked (FY2023, USD billions)

| Rank | Airline / Group | Revenue (USD, $B) | Fiscal year |
| ---: | --- | ---: | --- |
| 1 | American Airlines Group | 52.8 | 2023 |
| 2 | Delta Air Lines | 58.0 | 2023 |
| 3 | United Airlines | 53.7 | 2023 |
| 4 | Lufthansa Group | 38.0 | 2023 |
| 5 | International Airlines Group (IAG) | 31.6 | 2023 |
| 6 | Air France–KLM Group | 33.1 | 2023 |
| 7 | Ryanair Holdings | 13.4 | 2023 |
| 8 | easyJet | 11.0 | 2023 |
| 9 | Turkish Airlines (Group) | 20.9 | 2023 |
| 10 | Singapore Airlines Group | 14.9 | 2023 |
