# US Seat Belt and Child Restraint Laws — Child Passenger Requirements by State

| State | Child Restraint Required Until | Booster Seat Guidance | Rear Seat Recommendation | Penalty Mentioned |
|---|---:|---|---|---|
| California | 8 | Booster until seat belt fits properly | Strongly recommended | Fine varies by county |
| Texas | 8 | Booster for smaller children | Recommended | Civil penalty |
| Florida | 5 | Booster recommended 6–8 | Recommended | Fine + court costs |
| New Jersey | 8 | Booster under certain height | Strongly recommended | Points possible in some cases |
| Massachusetts | 8 | Booster encouraged beyond 8 | Recommended | Fine schedule |
| Washington | 8 | Booster until 4'9" | Strongly recommended | Fine + fees |
| Oregon | 8 | Booster recommended 8–12 | Recommended | Fine varies |
| Colorado | 8 | Booster 4–8 | Recommended | Fine varies |
| Georgia | 8 | Booster under 4'9" | Recommended | Fine varies |
| Virginia | 8 | Booster recommended | Recommended | Fine varies |
