# Regional Airlines Served Destinations (Selected Routes and Airports)

| Airline | Served place (City) | Airport / Served Airport | Country | Typical routing notes |
|---|---|---|---|---|
| Aerolineas Argentinas (Austral-operated flights) | Buenos Aires | Jorge Newbery Airfield (AEP) | Argentina | Nonstop from Esquel (EQS) |
| LADE | Comodoro Rivadavia | General Enrique Mosconi Intl (CRD) | Argentina | Often via Patagonia sector routes |
| LADE | Neuquen | Presidente Peron Intl (NQN) | Argentina | Domestic service |
| LADE | San Carlos de Bariloche | Teniente Luis Candelaria (BRC) | Argentina | Andes/Patagonia gateway |
| LADE | San Martin de los Andes | Aviador Carlos Campos (CPC) | Argentina | Seasonal demand varies but listed as served place |
| Lufthansa Regional (CityLine) | Frankfurt | Frankfurt Airport (FRA) | Germany | Nonstop from Sylt (GWT) |
| Lufthansa Regional (CityLine) | Munich | Munich Airport (MUC) | Germany | Nonstop from Sylt (GWT) |
| Air Berlin | Dusseldorf | Dusseldorf Airport (DUS) | Germany | Point-to-point leisure/business mix |
| Eurowings (Germanwings-operated) | Cologne/Bonn | Cologne Bonn Airport (CGN) | Germany | Domestic Germany link |
| Rhein-Neckar Air (MHS Aviation-operated) | Mannheim | Mannheim City Airport (MHG) | Germany | Regional niche route |
