# Cost of Living in Mexico City . Prices in Mexico City . Updated June 2016

| Restaurants | Typical Price (MXN) |
| --- | --- |
| Meal, Inexpensive Restaurant | 95 |
| Meal for 2 People, Mid-range Restaurant, Three-course | 450 |
| McMeal at McDonalds (or Equivalent Combo Meal) | 85 |
| Domestic Beer (1 pint draught) | 35 |
| Imported Beer (11.2 oz small bottle) | 50 |
| Cappuccino (regular) | 40 |
| Coke/Pepsi (0.33 liter bottle) | 18 |
| Water (0.33 liter bottle) | 12 |
| One-way Ticket (Local Transport) | 5 |
| Monthly Pass (Regular Price) | 400 |
