# Restaurant Menu Items Without Clear Serving Sizes (Calories Shown, Portions Unspecified)

| Brand | Menu Item | Calories (kcal) | Serving Size |
|---|---|---:|---|
| Burger King | Whopper (customizable) | 660 | not specified |
| Starbucks | Caramel Macchiato | 250 | not specified |
| Taco Bell | Crunchwrap Supreme | 530 | not specified |
| KFC | Original Recipe Chicken | 320 | not specified |
| Domino's | Pepperoni Pizza | 300 | not specified |
| McDonald's | French Fries | 320 | not specified |
| Chick-fil-A | Chick-fil-A Sauce | 140 | not specified |
| Wendy's | Frosty | 340 | not specified |
| Subway | Chipotle Southwest | 100 | not specified |
| Dunkin' | Iced Coffee | 120 | not specified |
| Pizza Hut | Ranch Dip | 160 | not specified |
