# Regional Education Calendar 2016–2017 (Universities and Public Schools)

| Sector | Institution / District | Term / Holiday | Start Date | End Date |
| --- | --- | --- | --- | --- |
| University | Northbridge University | Fall Semester | 2016-09-19 | 2016-12-16 |
| University | Northbridge University | Winter Break | 2016-12-17 | 2017-01-08 |
| University | Northbridge University | Spring Semester | 2017-01-09 | 2017-04-28 |
| University | Northbridge University | Spring Break | 2017-03-13 | 2017-03-19 |
| School District | Northbridge Unified School District | Term 2 | 2016-10-31 | 2016-12-16 |
| School District | Northbridge Unified School District | Winter Holidays | 2016-12-19 | 2017-01-02 |
| School District | Northbridge Unified School District | Term 3 | 2017-01-03 | 2017-02-10 |
| School District | Northbridge Unified School District | Spring Break | 2017-03-27 | 2017-03-31 |
| College (FE) | Northbridge Technical College | Spring Term | 2017-02-27 | 2017-03-31 |
| College (FE) | Northbridge Technical College | Easter Holidays | 2017-04-03 | 2017-04-17 |
