# Outlook.com Account Profile Fields (Legacy Client Wizard)

| Step | Field label | Example value | Where it appears | Notes |
| --- | --- | --- | --- | --- |
| 1 | Display name | John Smith | From header | Shown to recipients |
| 2 | Email address | john.smith@outlook.com | Account identity | Must be the full address |
| 3 | Username | john.smith@outlook.com | Login | Often same as email |
| 4 | Password | (your password) | Login | App password if MFA enabled |
| 5 | Account description | Outlook.com | Account list | Any name you prefer |
| 6 | Reply-to address | john.alt@outlook.com | Composition settings | Optional |
| 7 | Signature | Sent from my PC | Outgoing messages | Optional |
| 8 | Synchronization interval | 15 minutes | Advanced settings | Affects battery usage |
| 9 | Delete from server | After 7 days | POP behavior | Optional (client-managed) |
