# Capital punishment status in Europe (selected countries)  abolition status, last execution, and wartime exceptions

| Region | Country | Death penalty status (peacetime) | Year abolished (peacetime) | Last execution year (peacetime) | Death penalty status (wartime/exception) | Year abolished (wartime/exception) | Notes (high-level) |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Western Europe | France | Abolished for all crimes | 1981 | 1977 | Abolished | 1981 | Full abolition via legislation; later constitutional/ treaty alignment |
| Western Europe | Germany | Abolished for all crimes | 1949 | 1949 | Abolished | 1949 | Basic Law removed capital punishment; unified framework after WWII |
| Western Europe | United Kingdom | Abolished for ordinary crimes | 1969 | 1964 | Abolished | 1998 | Wartime/treason provisions removed later than peacetime |
| Southern Europe | Spain | Abolished for ordinary crimes | 1978 | 1975 | Abolished | 1995 | Wartime military scope removed later than the constitution era |
| Southern Europe | Italy | Abolished for ordinary crimes | 1948 | 1947 | Abolished | 1994 | Military wartime provisions ended later than peacetime abolition |
| Northern Europe | Sweden | Abolished for all crimes | 1921 | 1910 | Abolished | 1973 | Wartime laws repealed long after peacetime abolition |
| Northern Europe | Finland | Abolished for ordinary crimes | 1949 | 1825 | Abolished | 1972 | Wartime death penalty removed in the 1970s |
| Central/Eastern Europe | Poland | Abolished (law) | 1997 | 1988 | Abolished | 1997 | Modern abolition consolidated in late 1990s |
| Central/Eastern Europe | Ukraine | Abolished | 2000 | 1997 | Abolished | 2000 | Transition-era last executions preceded abolition |
| Eastern Europe | Belarus | Retained | — | 2014 | Retained | — | Only European state commonly listed as still using capital punishment |
| Balkans | Serbia | Abolished | 2002 | 1992 | Abolished | 2002 | Federal-to-national legal transition period |
| Caucasus (Europe) | Georgia | Abolished | 1997 | 1995 | Abolished | 1997 | Abolition in the 1990s, aligned with European standards |
