# Airport Transfer Price List (Sedan SUV Limo) with Per-Mile and Flat-Rate Options

| Vehicle Type | Pricing Model | Rate | Route Example | Notes |
| --- | --- | --- | --- | --- |
| Sedan (non-limo) | Flat rate | $75 | City Center ↔ Airport | Includes 1 bag |
| SUV (non-limo) | Flat rate | $95 | City Center ↔ Airport | Up to 6 passengers |
| Stretch Limousine | Flat rate | $180 | City Center ↔ Airport | Up to 10 passengers |
| Stretch Limousine | Per mile | $6.50/mi | Custom routing | 2-hour minimum may apply |
| Party Bus | Hourly | $220–$340/hr | Events | 3-hour minimum |
| Executive Van | Per mile | $4.25/mi | Point-to-point | Not a limo |
| Waiting time | Per 15 min | $18 | After grace period | Applies to all |
| Toll / parking | Pass-through | At cost | Airport lanes | Receipts provided |
| Gratuity | Percent | 20% | N/A | Added to invoice |
