# Local Newspapers by City and State (Directory-Style Listing)

| State/Province | City | Newspaper | Type | Website/Link |
| --- | --- | --- | --- | --- |
| New York | New York | The New York Times | Daily | https://www.nytimes.com |
| New York | New York | New York Post | Daily | https://nypost.com |
| California | Los Angeles | Los Angeles Times | Daily | https://www.latimes.com |
| Illinois | Chicago | Chicago Sun-Times | Daily | https://chicago.suntimes.com |
| Ontario | Toronto | The Globe and Mail | Daily | https://www.theglobeandmail.com |
| Ontario | Toronto | Toronto Star | Daily | https://www.thestar.com |
| Quebec | Montreal | La Presse | Daily | https://www.lapresse.ca |
| Lombardy | Milan | Corriere della Sera | Daily | https://www.corriere.it |
| Lazio | Rome | la Repubblica | Daily | https://www.repubblica.it |
| England | London | Evening Standard | Daily | https://www.standard.co.uk |
