# Greater Western Sydney Giants
> History

| Year | Draft Picks | Senior List Size | Salary Cap Allowance | Zone Access | Notes |
| --- | --- | --- | --- | --- | --- |
| 2011 | - | - | - | 4 NSW 2 NT | The club was allowed to sign up to twelve 17-year-olds born between 1 January and 30 April 1993. The club also received the first 8 picks in the rookie draft. |
| 2012 | 1, 2, 3, 5, 7, 9, 11, 13, 15 MD: 1,2 | 50 | $1,000,000 extra | 4 NSW 2 NT | At the conclusion of the 2011 season the club was able to sign up to 16 current AFL players who were uncontracted for the 2012 season.The club was also allowed to sign up to 10 players who had previously elected for the national draft and weren't selected. |
| 2013 | MD: 1,2 | 50 | $1,000,000 extra | 4 NSW 2 NT | At the conclusion of the 2012 season the club was able to sign up to 16 current AFL players who were uncontracted for the 2013 season.The club was also allowed to sign up to 10 players who had previously elected for the national draft and weren't selected. |
| 2014 | AFL Standard | 50 | $1,000,000 extra | AFL Standard | - |
| 2015 | AFL Standard | 48 | $880,000 extra | AFL Standard | - |
| 2016 | AFL Standard | 46 | $760,000 extra | AFL Standard | - |
| 2017 | AFL Standard | 44 | AFL standard | AFL Standard | - |
| 2018 | AFL Standard | 42 | AFL standard | AFL Standard | - |
| 2019 | AFL Standard | AFL standard | AFL standard | AFL standard | All concessions removed and the club operates like every other team in the AFL. |
