# State-by-State Mortgage Refinance Rates (Daily Snapshot)

| State | Common Refi Product (Example) | Listed Rate | APR | Daily Change (bps) | Notes |
| --- | --- | --- | --- | --- | --- |
| California | 30-Year Fixed Refi | 6.82% | 6.95% | +3 | Conforming balance |
| Texas | 30-Year Fixed Refi | 6.71% | 6.88% | +1 | 740+ FICO assumption |
| Florida | 30-Year Fixed Refi | 6.89% | 7.05% | +4 | Includes typical refi fees |
| New York | 30-Year Fixed Refi | 6.94% | 7.12% | +2 | Higher title/recording costs common |
| Illinois | 30-Year Fixed Refi | 6.76% | 6.92% | 0 | Standard single-family |
| Washington | 30-Year Fixed Refi | 6.79% | 6.93% | -1 | No points assumed |
| Arizona | 30-Year Fixed Refi | 6.84% | 7.01% | +2 | Owner-occupied |
| Colorado | 30-Year Fixed Refi | 6.73% | 6.90% | -2 | Rate varies by county fees |
| Georgia | 30-Year Fixed Refi | 6.86% | 7.03% | +1 | Conventional refi |
| North Carolina | 30-Year Fixed Refi | 6.68% | 6.83% | 0 | Conforming, 80% LTV |
| Massachusetts | 30-Year Fixed Refi | 6.77% | 6.94% | +2 | Boston-area costs can affect APR |
| New Jersey | 30-Year Fixed Refi | 6.81% | 6.99% | +3 | Higher prepaid taxes/insurance common |
