# A Level Subjects (Sixth Form) Side-by-Side Comparison

| Subject | Category/Department | Qualification level | Typical fit / brief notes |
| --- | --- | --- | --- |
| Mathematics | Mathematics | A Level | Often pairs with Physics/Economics/Computer Science |
| Further Mathematics | Mathematics | A Level | Usually taken with Mathematics; more advanced content |
| English Literature | English | A Level | Essay-heavy; strong for humanities and law pathways |
| Biology | Science | A Level | Common requirement for medicine-related degrees |
| Chemistry | Science | A Level | Often required for chemistry/medicine/engineering routes |
| Physics | Science | A Level | Common with Maths; useful for engineering/physics degrees |
| Psychology | Social Sciences | A Level | Research methods + statistical content |
| Economics | Social Sciences | A Level | Micro/macro; often paired with Maths |
| History | Humanities | A Level | Extended writing and historiography skills |
| Geography | Humanities | A Level | Human/physical geography; often includes fieldwork |
| Politics | Humanities | A Level | Government, political ideas; essay-based |
| Sociology | Social Sciences | A Level | Social theory + research methods |
| French | Modern Foreign Languages | A Level | High emphasis on speaking and cultural topics |
| Spanish | Modern Foreign Languages | A Level | Speaking/listening/reading/writing + culture |
| Computer Science | Computing | A Level | Programming and theory; NEA/project is common |
| Art and Design | Arts | A Level | Portfolio-led; substantial independent work |
| Music | Performing Arts | A Level | Performance/composition + analysis |
| Drama and Theatre | Performing Arts | A Level | Performance + written work; production roles may feature |
| Business | Business | A Level | Strategy, finance, marketing; case-study style |
| Design and Technology | Design/Technology | A Level | Iterative design + substantial coursework project |
