# MRI CPT Code Quick List (Spine + Brain Neck Mix)

| Body Area | Exam Variant | CPT Code | Notes |
| --- | --- | --- | --- |
| Cervical Spine | Without contrast | 72141 | Spine |
| Cervical Spine | With contrast | 72142 | Spine |
| Cervical Spine | With & without contrast | 72156 | Spine |
| Thoracic Spine | Without contrast | 72146 | Spine |
| Thoracic Spine | With & without contrast | 72157 | Spine |
| Lumbar Spine | Without contrast | 72148 | Spine |
| Lumbar Spine | With & without contrast | 72158 | Spine |
| Brain | Without contrast | 70551 | Non-spine (brain) |
| Orbits/Face/Neck | With & without contrast | 70543 | Non-spine (orbits/face/neck) |
