# State Extension Rules Summary (Deadlines Described Qualitatively, No Specific After-Extension Dates)

| State | Original Filing Deadline (Text) | Extension Availability | After-Extension Deadline (Text Only) | Payment Guidance |
|---|---|---|---|---|
| Georgia | Same as federal individual due date | Automatic with federal | Six months after the original deadline | Pay expected tax by original date |
| Indiana | Same as federal individual due date | Available upon request | Several months after the original deadline | Interest may accrue if unpaid |
| Missouri | Same as federal individual due date | Available | About six months after original due date | Pay balance by original date |
| New Jersey | Same as federal individual due date | Available | Typically six months after original date | Payment voucher may be required |
| Ohio | Same as federal individual due date | Available | Roughly six months after original date | Extension to file is not extension to pay |
| Pennsylvania | Same as federal individual due date | Available | Commonly six months after original date | Penalties may apply if underpaid |
| Virginia | May differ from federal date | Available | Up to six months after original date | Pay by original due date to avoid penalties |
| Iowa | State-specific statutory deadline | Available | Approximately six months after original | Pay to minimize interest |
| Idaho | Same as federal individual due date | Automatic | Generally six months after original | Payment due by original date |
| Illinois | Same as federal individual due date | Automatic | Usually six months after original | Payment due by original date |
