# Marine Fuels Price Dashboard (Indicative, Not Bunker Market Assessed)

| Product / Benchmark | Unit | Date | Price | Source / Notes |
| --- | --- | --- | --- | --- |
| Brent Crude (ICE) | USD/bbl | 2016-06-22 | 48.41 | Global crude benchmark (upstream) |
| WTI Crude (NYMEX) | USD/bbl | 2016-06-22 | 48.85 | Global crude benchmark (upstream) |
| ULSD (NY Harbor) | USD/gal | 2016-06-22 | 1.52 | Refined product, not bunker delivered price |
| Heating Oil (NYMEX) | USD/gal | 2016-06-22 | 1.50 | Refined product screen |
| Henry Hub Natural Gas | USD/MMBtu | 2016-06-22 | 2.67 | Gas market, not marine fuel |
| Rotterdam Gasoil (ICE) | USD/mt | 2016-06-22 | 410.00 | Gasoil benchmark; not port bunker quote |
| EUR/USD | FX | 2016-06-22 | 1.13 | Macro input; not bunker pricing |
| Baltic Dry Index (BDI) | Index | 2016-06-22 | 620 | Freight indicator; not fuel price |
| Singapore HSFO crack spread | USD/bbl | 2016-06-22 | -1.80 | Refining margin, not bunker price |
| Carbon (EU ETS) | EUR/tCO2 | 2016-06-22 | 5.40 | Emissions market, not bunker pricing |
