# List of AFL debuts in 2008
> AFL debuts

| Name | Club | Age at debut | Debut round | Games (2008) | Goals (2008) | Ref. |
| --- | --- | --- | --- | --- | --- | --- |
| Edwards, Jake Jake Edwards | Carlton | 20 years, 074 days ! 20 years, 74 days | 1 | 5 | 4 | [6] |
| Stewart, Paul Paul Stewart | Port Adelaide | 20 years, 254 days ! 20 years, 254 days | 1 | 11 | 1 | [7] |
| West, Trent Trent West | Geelong | 20 years, 155 days ! 20 years, 155 days | 1 | 6 | 1 | [8] |
| Nathan Brown Nathan Brown | Collingwood | 19 years, 096 days ! 19 years, 96 days | 1 | 23 | 4 | [9] |
| Bird, Craig Craig Bird | Sydney | 19 years, 061 days ! 19 years, 61 days | 1 | 21 | 8 | [10] |
| Geary, Jarryn Jarryn Geary | St Kilda | 19 years, 273 days ! 19 years, 273 days | 1 | 10 | 0 | [11] |
| Mackay, David David Mackay | Adelaide | 19 years, 242 days ! 19 years, 242 days | 1 | 19 | 4 | [12] |
| Tippett, Kurt Kurt Tippett | Adelaide | 20 years, 320 days ! 20 years, 320 days | 1 | 19 | 17 | [13] |
| Morton, Cale Cale Morton | Melbourne | 18 years, 065 days ! 18 years, 65 days | 1 | 19 | 12 | [14] |
| Rioli, Cyril Cyril Rioli | Hawthorn | 18 years, 253 days ! 18 years, 253 days | 1 | 25 | 24 | [15] |
| Stokes, Cameron Cameron Stokes † | Hawthorn | 18 years, 265 days ! 18 years, 265 days | 1 | 9 | 6 | [16] |
| Weetra, Isaac Isaac Weetra | Melbourne | 19 years, 025 days ! 18 years, 25 days | 1 | 2 | 0 | [17] |
| Thompson, Scott Scott Thompson | North Melbourne | 21 years, 320 days ! 21 years, 320 days | 1 | 6 | 0 | [18] |
| Henderson, Lachlan Lachlan Henderson | Brisbane Lions | 18 years, 105 days ! 18 years, 105 days | 2 | 8 | 3 | [19] |
| Ebert, Brad Brad Ebert | West Coast | 17 years, 362 days ! 17 years, 362 days | 2 | 15 | 5 | [20] |
| Masten, Chris Chris Masten | West Coast | 18 years, 332 days ! 18 years, 332 days | 2 | 9 | 1 | [21] |
| Mayne, Chris Chris Mayne | Fremantle | 19 years, 148 days ! 19 years, 148 days | 2 | 17 | 10 | [22] |
| Palmer, Rhys Rhys Palmer | Fremantle | 19 years, 045 days ! 19 years, 45 days | 2 | 20 | 10 | [23] |
| Pfeiffer, Darren Darren Pfeiffer | Carlton | 20 years, 183 days ! 20 years, 183 days | 2 | 7 | 4 | [24] |
| Taylor, Harry Harry Taylor | Geelong | 21 years, 292 days ! 21 years, 292 days | 2 | 21 | 3 | [25] |
| Selwood, Scott Scott Selwood | West Coast | 18 years, 009 days ! 18 years, 9 days | 3 | 9 | 2 | [26] |
| Kreuzer, Matthew Matthew Kreuzer | Carlton | 18 years, 328 days ! 18 years, 328 days | 3 | 20 | 13 | [27] |
| Wonaeamirri, Austin Austin Wonaeamirri † | Melbourne | 19 years, 187 days ! 19 years, 187 days | 3 | 18 | 24 | [28] |
| Anthony, Jack Jack Anthony | Collingwood | 20 years, 078 days ! 20 years, 78 days | 3 | 12 | 25 | [29] |
| Pears, Tayte Tayte Pears | Essendon | 18 years, 018 days ! 18 years, 18 days | 4 | 5 | 2 | [30] |
| Ross, Ben Ben Ross | North Melbourne | 19 years, 204 days ! 19 years, 204 days | 4 | 3 | 2 | [31] |
| Spangher, Matthew Matthew Spangher | West Coast | 20 years, 355 days ! 20 years, 355 days | 4 | 7 | 1 | [32] |
| Smith, Nick Nick Smith † | Sydney | 19 years, 312 days ! 19 years, 312 days | 5 | 2 | 1 | [33] |
| Hinkley, Clayton Clayton Hinkley | Fremantle | 19 years, 058 days ! 19 years, 58 days | 5 | 5 | 2 | [34] |
| Jacky, Jarrhan Jarrhan Jacky | Adelaide | 19 years, 014 days ! 19 years, 14 days | 5 | 3 | 1 | [35] |
| Wellingham, Sharrod Sharrod Wellingham † | Collingwood | 19 years, 293 days ! 19 years, 293 days | 6 | 12 | 4 | [36] |
| Mumford, Shane Shane Mumford † | Geelong | 21 years, 295 days ! 21 years, 295 days | 6 | 3 | 0 | [37] |
| Browne, Steven Steven Browne | Carlton | 19 years, 085 days ! 19 years, 85 days | 6 | 13 | 4 | [38] |
| Polkinghorne, James James Polkinghorne | Brisbane Lions | 19 years, 097 days ! 19 years, 97 days | 6 | 4 | 0 | [39] |
| White, Jesse Jesse White | Sydney | 20 years, 109 days ! 20 years, 109 days | 6 | 2 | 0 | [40] |
| Ellard, David David Ellard † | Carlton | 19 years, 050 days ! 19 years, 50 days | 7 | 1 | 1 | [41] |
| Sellar, James James Sellar | Adelaide | 19 years, 040 days ! 19 years, 40 days | 7 | 1 | 0 | [42] |
| Smith, Josh Josh Smith | North Melbourne | 22 years, 059 days ! 22 years, 59 days | 7 | 2 | 0 | [43] |
| Atkinson, Jarrod Jarrod Atkinson † | Essendon | 23 years, 073 days ! 23 years, 73 days | 7 | 5 | 2 | [44] |
| Daniher, Darcy Darcy Daniher | Essendon | 18 years, 226 days ! 18 years, 226 days | 7 | 3 | 0 | [45] |
| Myers, David David Myers | Essendon | 18 years, 309 days ! 18 years, 309 days | 7 | 8 | 1 | [46] |
| Cotchin, Trent Trent Cotchin | Richmond | 18 years, 040 days ! 18 years, 40 days | 8 | 15 | 9 | [47] |
| Davis, Ryan Ryan Davis † | West Coast | 20 years, 355 days ! 20 years, 355 days | 8 | 11 | 4 | [48] |
| Obst, Alan Alan Obst † | North Melbourne | 20 years, 364 days ! 20 years, 364 days | 8 | 3 | 0 | [49] |
| Valenti, Shane Shane Valenti † | Melbourne | 21 years, 110 days ! 21 years, 110 days | 8 | 9 | 3 | [50] |
| Houlihan, Tim Tim Houlihan | West Coast | 19 years, 104 days ! 19 years, 104 days | 9 | 8 | 0 | [51] |
| Wilkes, Beau Beau Wilkes † | West Coast | 22 years, 065 days ! 22 years, 65 days | 9 | 14 | 1 | [52] |
| Kennedy, Josh Josh Kennedy | Hawthorn | 19 years, 340 days ! 19 years, 340 days | 9 | 3 | 0 | [53] |
| Morton, Jarryd Jarryd Morton | Hawthorn | 19 years, 233 days ! 19 years, 233 days | 9 | 8 | 0 | [54] |
| Armfield, Dennis Dennis Armfield | Carlton | 21 years, 161 days ! 21 years, 161 days | 10 | 9 | 2 | [55] |
| Urquhart, Gavin Gavin Urquhart | North Melbourne | 20 years, 013 days ! 20 years, 13 days | 10 | 14 | 0 | [56] |
| Bellchambers, Tom Tom Bellchambers | Essendon | 18 years, 334 days ! 18 years, 334 days | 11 | 3 | 0 | [57] |
| Hawksley, James James Hawksley | Brisbane Lions | 19 years, 124 days ! 19 years, 124 days | 11 | 4 | 0 | [58] |
| Ward, Callan Callan Ward | Western Bulldogs | 18 years, 059 days ! 18 years, 59 days | 11 | 6 | 2 | [59] |
| Otten, Andy Andy Otten | Adelaide | 19 years, 030 days ! 19 years, 30 days | 12 | 2 | 0 | [60] |
| Renouf, Brent Brent Renouf | Hawthorn | 20 years, 042 days ! 20 years, 42 days | 12 | 8 | 0 | [61] |
| Allen, Jarryd Jarryd Allen | St Kilda | 20 years, 158 days ! 20 years, 158 days | 13 | 4 | 0 | [62] |
| Eddy, Robert Robert Eddy † | St Kilda | 20 years, 165 days ! 20 years, 165 days | 13 | 13 | 3 | [63] |
| McEvoy, Ben Ben McEvoy | St Kilda | 18 years, 354 days ! 18 years, 354 days | 13 | 1 | 0 | [64] |
| Collier, Tom Tom Collier | Brisbane Lions | 19 years, 088 days ! 19 years, 88 days | 13 | 6 | 1 | [65] |
| Martin, Stefan Stefan Martin | Melbourne | 21 years, 225 days ! 21 years, 225 days | 14 | 8 | 0 | [66] |
| Head, Josh Josh Head | Fremantle | 25 years, 083 days ! 25 years, 83 days | 14 | 3 | 1 | [67] |
| Goldstein, Todd Todd Goldstein | North Melbourne | 20 years, 011 days ! 20 years, 11 days | 15 | 3 | 2 | [68] |
| Dalziell, Bradd Bradd Dalziell | Brisbane Lions | 21 years, 126 days ! 21 years, 126 days | 16 | 7 | 1 | [69] |
| O'Dwyer, Matthew Matthew O'Dwyer † | Sydney | 19 years, 365 days ! 19 years, 365 days | 16 | 2 | 1 | [70] |
| Maric, Addam Addam Maric | Melbourne | 18 years, 100 days ! 18 years, 100 days | 17 | 5 | 2 | [71] |
| Clouston, Scott Scott Clouston † | Brisbane Lions | 21 years, 182 days ! 21 years, 182 days | 18 | 2 | 1 | [72] |
| Brabazon, Ryan Ryan Brabazon | Sydney | 21 years, 221 days ! 21 years, 221 days | 18 | 1 | 0 | [73] |
| Veszpremi, Patrick Patrick Veszpremi | Sydney | 18 years, 337 days ! 18 years, 337 days | 18 | 6 | 9 | [74] |
| Farmer, Mitchell Mitchell Farmer | Port Adelaide | 19 years, 212 days ! 19 years, 212 days | 18 | 3 | 0 | [75] |
| Salter, Nick Nick Salter † | Port Adelaide | 21 years, 004 days ! 21 years, 4 days | 18 | 2 | 3 | [76] |
| Williams, Ryan Ryan Williams | Port Adelaide | 19 years, 304 days ! 19 years, 304 days | 19 | 2 | 0 | [77] |
| Dawes, Chris Chris Dawes | Collingwood | 20 years, 085 days ! 20 years, 85 days | 19 | 6 | 5 | [78] |
| McCarthy, John John McCarthy | Collingwood | 18 years, 264 days ! 18 years, 264 days | 19 | 6 | 3 | [79] |
| Magin, Rhys Rhys Magin † | Essendon | 19 years, 159 days ! 19 years, 159 days | 19 | 4 | 2 | [80] |
| Westhoff, Matthew Matthew Westhoff | Port Adelaide | 20 years, 071 days ! 20 years, 71 days | 20 | 3 | 3 | [81] |
| Dangerfield, Patrick Patrick Dangerfield | Adelaide | 18 years, 133 days ! 18 years, 133 days | 20 | 2 | 0 | [82] |
| Notte, Tony Tony Notte | West Coast | 18 years, 123 days ! 18 years, 123 days | 20 | 2 | 0 | [83] |
| Hooker, Cale Cale Hooker | Essendon | 19 years, 314 days ! 19 years, 314 days | 21 | 2 | 0 | [84] |
| Motlop, Marlon Marlon Motlop | Port Adelaide | 18 years, 128 days ! 18 years, 128 days | 21 | 2 | 1 | [85] |
| Hanley, Pearce Pearce Hanley † | Brisbane Lions | 19 years, 282 days ! 19 years, 282 days | 21 | 2 | 0 | [86] |
| Reid, Sam Sam Reid | Western Bulldogs | 18 years, 297 days ! 18 years, 297 days | 22 | 1 | 0 | [87] |
| Grimes, Jack Jack Grimes | Melbourne | 19 years, 112 days ! 19 years, 112 days | 22 | 1 | 0 | [88] |
| Williams, John John Williams | Essendon | 19 years, 328 days ! 19 years, 328 days | 22 | 1 | 0 | [89] |
