# Demographics of Vietnam
> Vital statistics

|  | Average population (x 1000) | Live births | Deaths | Natural change | Crude birth rate (per 1000) | Crude death rate (per 1000) | Natural change (per 1000) | Total fertility rate (children per woman) |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 2001 | 78.620,5 |  |  |  | 18.6 | 5.1 | 13.5 | 2.25 |
| 2002 | 79.537,7 |  |  |  | 19.0 | 5.8 | 13.2 | 2.28 |
| 2003 | 80.467,4 |  |  |  | 17.5 | 5.8 | 11.7 | 2.12 |
| 2004 | 81.436,4 |  |  |  | 19.2 | 5.4 | 13.8 | 2.23 |
| 2005 | 82.392,1 |  |  |  | 18.6 | 5.3 | 13.3 | 2.11 |
| 2006 | 83.311,2 |  |  |  | 17.4 | 5.3 | 12.1 | 2.09 |
| 2007 | 84.218,5 |  |  |  | 16.9 | 5.3 | 11.6 | 2.07 |
| 2008 | 85.118,7 |  |  |  | 16.7 | 5.3 | 11.4 | 2.08 |
| 2009 | 86.025,0 |  |  |  | 17.6 | 6.8 | 10.8 | 2.03 |
| 2010 | 86.932,5 |  |  |  | 17.1 | 6.8 | 10.3 | 2.00 |
| 2011 | 87.840,0 | 1.443,0 | 599,8 | 843,2 | 16.6 | 6.9 | 9.7 | 1.99 |
| 2012 | 88.772,9 | 1.484,5 | 621,4 | 863.1 | 16.9 | 7.0 | 9.9 | 2.05 |
| 2013 | 89.759,5 | 1.513,5 | 621,4 | 892,1 | 17.0 | 7.1 | 9.9 | 2.10 |
| 2014 | 90.728,9 | 1.525.9 | 619,3 | 906.6 | 17.2 | 6.9 | 10.3 | 2.09 |
| 2015 | 91.700,0 | 1.588,6 | 617.8 | 974.9 | 17.5 | 6.8 | 10.7 | 2.10 |
