# Most Subscribed YouTube Channels (Global) — Subscribers and Ownership

| Rank | Channel | Subscribers (Millions) | Owner / Parent Entity | Country |
| --- | --- | --- | --- | --- |
| 1 | T-Series | 265.0 | Super Cassettes Industries Pvt. Ltd. | India |
| 2 | MrBeast | 240.0 | Jimmy Donaldson (Creator) | United States |
| 3 | Cocomelon - Nursery Rhymes | 175.0 | Moonbug Entertainment | United States |
| 4 | SET India | 170.0 | Sony Pictures Networks India | India |
| 5 | Kids Diana Show | 125.0 | Diana & family (Creator brand) | Ukraine/US |
| 6 | Like Nastya | 120.0 | Nastya Radzinskaya (Creator) | United States |
| 7 | PewDiePie | 111.0 | Felix Kjellberg (Creator) | Sweden |
| 8 | Vlad and Niki | 110.0 | Vlad & Niki (Creator brand) | United States |
| 9 | Zee Music Company | 110.0 | Zee Entertainment Enterprises | India |
| 10 | WWE | 105.0 | TKO Group Holdings (WWE) | United States |
| 11 | BLACKPINK | 95.0 | YG Entertainment | South Korea |
| 12 | 5-Minute Crafts | 80.0 | TheSoul Publishing | Cyprus |
