# Time Zone News Timeline  DST Announcements and Clock-Change Headlines (Selected Countries)

| Date | Country/Territory | Headline | Source Type | Link/Reference |
| --- | --- | --- | --- | --- |
| 2016-02-17 | Russia (Astrakhan) | Time Zone Change Announced for Astrakhan | News post | Time zone news roundup |
| 2016-03-12 | Haiti | No Clock Change This Year | News post | Time zone news roundup |
| 2016-04-29 | Egypt | DST Returns in July 2016 | Government announcement | Time zone news roundup |
| 2018-10-26 | European Union | Proposal to End Seasonal Clock Change | Policy news | EU press summary |
| 2019-03-08 | Brazil | DST Suspended for the Upcoming Season | Government decree | Local media summary |
| 2020-03-20 | Morocco | Temporary Suspension During Ramadan Discussed | News analysis | Regional bulletin |
| 2021-10-05 | Mexico | Border DST Rules Updated | Legislative update | Official gazette note |
| 2022-03-15 | United States | Senate Debates Permanent DST | Political news | Congressional report |
| 2023-09-01 | Chile | DST Decree Published for Next Season | Official notice | Ministry bulletin |
| 2024-01-10 | Lebanon | Postponed Clock Change Sparks Confusion | Breaking news | Newswire brief |
