# Starbucks Menu Caffeine (Selected Drinks) — Single-Size Listing Including Decaf

| Starbucks beverage | Listed size | Caffeine (mg) | Decaf caffeine (mg) | Comments |
| --- | --- | --- | --- | --- |
| Caffè Americano | Grande (16 fl oz) | 225 | 10–15 | Uses espresso shots |
| Caffè Latte | Grande (16 fl oz) | 150 | 5–15 | Milk-based |
| Cappuccino | Grande (16 fl oz) | 150 | 5–15 | Similar to latte |
| Brewed Coffee (Pike Place) | Grande (16 fl oz) | 310 | 15–25 | Brew strength varies |
| Cold Brew | Grande (16 fl oz) | 205 | — | No standard decaf version |
| Chai Tea Latte | Grande (16 fl oz) | 95 | — | Tea concentrate varies |
| Matcha Tea Latte | Grande (16 fl oz) | 80 | — | Caffeine from matcha |
| Hot Chocolate | Grande (16 fl oz) | 25 | 0–5 | From cocoa |
| Espresso (Doppio) | 2 fl oz | 150 | 5–10 | Two shots |
