# Organic Functional Groups  Non‑Oxygen Heteroatom Groups (Common in Nomenclature)

| Functional group class | Group name | Typical formula | Key atom(s) in group | Example compound | IUPAC suffix/prefix |
| --- | --- | --- | --- | --- | --- |
| Alkyl halide | Chloro | R–Cl | Cl | Chloroethane | chloro- |
| Alkyl halide | Bromo | R–Br | Br | Bromoethane | bromo- |
| Alkyl halide | Iodo | R–I | I | Iodoethane | iodo- |
| Nitrile | Cyano | R–C≡N | N | Propionitrile | -nitrile / cyano- |
| Amine | Amino | R–NH2 | N | Ethylamine | -amine / amino- |
| Ammonium salt | Quaternary ammonium | R4N+ | N+ | Tetramethylammonium chloride | -ammonium |
| Thiol | Mercapto (thiol) | R–SH | S | Ethanethiol | -thiol / mercapto- |
| Thioether | Sulfide | R–S–R' | S | Dimethyl sulfide | alkylthio- |
| Phosphine | Phosphino | R3P | P | Triphenylphosphine | phosphino- |
