# IUPAC Naming Patterns for Variable-Valence Metals (Roman Numerals in Names)

| Metal | Common Anion Example | Example Formula | Example Name | Naming Rule Highlight |
|---|---|---|---|---|
| iron | chloride | FeCl2 | iron(II) chloride | roman numeral indicates cation charge |
| iron | chloride | FeCl3 | iron(III) chloride | roman numeral indicates cation charge |
| copper | oxide | Cu2O | copper(I) oxide | roman numeral used for variable valence |
| copper | oxide | CuO | copper(II) oxide | roman numeral used for variable valence |
| tin | chloride | SnCl2 | tin(II) chloride | classical vs stock naming |
| tin | chloride | SnCl4 | tin(IV) chloride | classical vs stock naming |
| lead | oxide | PbO | lead(II) oxide | stock system |
| lead | oxide | PbO2 | lead(IV) oxide | stock system |
| chromium | oxide | Cr2O3 | chromium(III) oxide | stock system |
| manganese | oxide | MnO2 | manganese(IV) oxide | stock system |
| mercury | chloride | Hg2Cl2 | mercury(I) chloride | special case dimeric cation |
| mercury | chloride | HgCl2 | mercury(II) chloride | stock system |
