# Citywide Term Dates 2015–2016  University, Sixth Form, and Secondary School

| Education Level | Provider | Term / Holiday | First Day | Last Day |
| --- | --- | --- | --- | --- |
| University | Rivergate University | Semester 2 | Monday 18 January 2016 | Friday 25 March 2016 |
| University | Rivergate University | Easter Recess | Saturday 26 March 2016 | Sunday 10 April 2016 |
| University | Rivergate University | Semester 2 (Part B) | Monday 11 April 2016 | Friday 27 May 2016 |
| University | Rivergate University | Summer Vacation | Saturday 28 May 2016 | Sunday 25 September 2016 |
| Sixth Form College | Rivergate Sixth Form | Spring Term | Monday 4 January 2016 | Thursday 24 March 2016 |
| Sixth Form College | Rivergate Sixth Form | Easter Holidays | Friday 25 March 2016 | Sunday 10 April 2016 |
| Secondary School | Rivergate Academy | Term 3 | Monday 4 January 2016 | Friday 12 February 2016 |
| Secondary School | Rivergate Academy | Half Term | Saturday 13 February 2016 | Sunday 21 February 2016 |
| Secondary School | Rivergate Academy | Term 4 | Monday 22 February 2016 | Thursday 24 March 2016 |
| Secondary School | Rivergate Academy | Easter Holidays | Friday 25 March 2016 | Sunday 10 April 2016 |
