# Bluetooth Earbuds Battery Runtime Comparison (Single Charge vs With Charging Case)

| Brand | Earbud Model | Playback Runtime (Single Charge, hrs) | Total Runtime (With Case, hrs) |
| --- | --- | ---: | ---: |
| Apple | AirPods Pro (2nd gen) | 6.0 | 30 |
| Apple | AirPods (3rd gen) | 6.0 | 30 |
| Sony | WF-1000XM5 | 8.0 | 24 |
| Bose | QuietComfort Earbuds II | 6.0 | 24 |
| Samsung | Galaxy Buds2 Pro | 5.0 | 18 |
| Jabra | Elite 7 Pro | 8.0 | 30 |
| Anker Soundcore | Liberty 4 | 9.0 | 28 |
| Sennheiser | Momentum true Wireless 3 | 7.0 | 28 |
| Google | Pixel Buds Pro | 11.0 | 31 |
| Beats | Fit Pro | 6.0 | 24 |
