# EuroMillions — Prize Tiers and Odds per Ticket

| Prize Tier | Match Requirement | Typical Prize Description | Odds of Winning (1 in X) | Fixed or Variable |
|---|---|---|---:|---|
| 1 (Jackpot) | 5 numbers + 2 Lucky Stars | Jackpot (variable) | 139,838,160 | Variable |
| 2 | 5 numbers + 1 Lucky Star | Major prize (variable) | 6,991,908 | Variable |
| 3 | 5 numbers | Major prize (variable) | 3,107,515 | Variable |
| 4 | 4 numbers + 2 Lucky Stars | Mid-tier prize (variable) | 621,503 | Variable |
| 5 | 4 numbers + 1 Lucky Star | Mid-tier prize (variable) | 31,076 | Variable |
| 6 | 3 numbers + 2 Lucky Stars | Mid-tier prize (variable) | 14,126 | Variable |
| 7 | 4 numbers | Mid-tier prize (variable) | 13,812 | Variable |
| 8 | 2 numbers + 2 Lucky Stars | Small prize (often fixed by rules) | 985 | Often fixed |
| 9 | 3 numbers + 1 Lucky Star | Small prize (often fixed by rules) | 707 | Often fixed |
| 10 | 3 numbers | Small prize (often fixed by rules) | 314 | Often fixed |
| 11 | 1 number + 2 Lucky Stars | Small prize (often fixed by rules) | 188 | Often fixed |
| 12 | 2 numbers + 1 Lucky Star | Small prize (often fixed by rules) | 49 | Often fixed |
| 13 | 2 numbers | Small prize (often fixed by rules) | 22 | Often fixed |
