# Everyday Foods & Dishes Calorie Lookup (Common Serving Sizes)

| Food or Dish | Serving Size | Calories (kcal) | Protein (g) | Carbs (g) | Fat (g) |
| --- | --- | ---: | ---: | ---: | ---: |
| Grilled chicken breast (skinless) | 3 oz (85 g) | 128 | 26 | 0 | 2.7 |
| Cooked brown rice | 1 cup (195 g) | 216 | 5.0 | 44.8 | 1.8 |
| Scrambled eggs | 2 large | 182 | 12.6 | 1.6 | 13.6 |
| Oatmeal, cooked (water) | 1 cup | 154 | 5.7 | 27.4 | 2.6 |
| Greek yogurt, plain (nonfat) | 170 g (6 oz) | 100 | 17 | 6 | 0 |
| Apple, raw (with skin) | 1 medium (182 g) | 95 | 0.5 | 25 | 0.3 |
| Peanut butter | 2 tbsp (32 g) | 188 | 8 | 6 | 16 |
| Cheese pizza, regular crust | 1 slice (1/8 of 14") | 285 | 12 | 36 | 10 |
| Burrito bowl (rice, beans, chicken, salsa) | 1 bowl | 650 | 40 | 75 | 20 |
| Caesar salad with grilled chicken (with dressing) | 1 salad | 470 | 35 | 18 | 28 |
