# Cooking Oils Comparison  Smoke Point and Grouped Fat Composition (SFA MUFA PUFA)

| Oil (common name) | Typical smoke point (°C) | Saturated fat (SFA, %) | Monounsaturated fat (MUFA, %) | Polyunsaturated fat (PUFA, %) | Notes |
| --- | ---: | ---: | ---: | ---: | --- |
| Avocado oil (refined) | 270 | 12 | 70 | 13 | High-heat friendly; neutral flavor |
| Avocado oil (extra virgin) | 190 | 12 | 70 | 13 | Lower smoke point vs refined |
| Canola oil (refined) | 205 | 7 | 63 | 28 | Often used for sautéing and baking |
| Coconut oil (virgin) | 175 | 86 | 6 | 2 | Very high SFA; distinct flavor |
| Corn oil (refined) | 230 | 13 | 28 | 55 | Higher PUFA; common frying oil |
| Grapeseed oil (refined) | 215 | 10 | 16 | 70 | Very high PUFA; light taste |
| Olive oil (extra virgin) | 190 | 14 | 73 | 11 | Flavorful; moderate heat use |
| Olive oil (refined) | 240 | 14 | 73 | 11 | Higher smoke point than EVOO |
| Peanut oil (refined) | 230 | 17 | 46 | 32 | Popular for deep-frying |
| Sesame oil (refined) | 210 | 14 | 41 | 41 | Toasted sesame oil differs (lower smoke point) |
| Soybean oil (refined) | 230 | 15 | 23 | 58 | Widely used in commercial frying |
| Sunflower oil (high oleic, refined) | 230 | 9 | 82 | 9 | MUFA-forward; often marketed for frying |
