# List of LGBT characters in film
> W

| Character | Show/film | Orientation | Media |
| --- | --- | --- | --- |
| Sherri Ann Ward Cabot | Best in Show | Lesbian | Film |
| Martin Waters | The Architect | Gay | Film |
| Wallace Wells | Scott Pilgrim vs. The World | Gay | Film |
| Frank Whitaker | Far From Heaven | Gay | Film |
| Bunny Wigglesworth | Zorro, the Gay Blade | Gay | Film |
| Curt Wild | Velvet Goldmine | Gay/Bisexual | Film |
| Elliot Wilhelm | Be Cool | Gay | Film |
| Ray Wilkins | Scary Movie 2 | Gay/Bisexual | Film |
| Toby Wilkins | Transamerica | Bisexual | Film |
| Holden Wilson | Valentine's Day | Gay | Film |
| Sonny Wortzik | Dog Day Afternoon | Bisexual | Film |
| Myriam 'mimi' Wu | The Girl with the Dragon Tattoo#Film adaptations | Lesbian/Bisexual | Film/Series |
