# Least Populous Countries and Territories (Selected Micro-Entities, Smallest to Larger)

| Rank (within list) | Country / Territory | Status | Region | Estimated population |
| --- | --- | --- | --- | --- |
| 1 | Pitcairn Islands | British Overseas Territory | Oceania | 56 |
| 2 | Cocos (Keeling) Islands | Australian external territory | Oceania | 600 |
| 3 | Vatican City | Sovereign microstate | Europe | 842 |
| 4 | Tokelau | New Zealand dependent territory | Oceania | 1,100 |
| 5 | Niue | Self-governing in free association with New Zealand | Oceania | 1,500 |
| 6 | Montserrat | British Overseas Territory | Caribbean | 4,900 |
| 7 | Falkland Islands | British Overseas Territory | South America | 3,140 |
| 8 | Saint Helena | British Overseas Territory | Africa (South Atlantic) | 4,400 |
| 9 | Nauru | Sovereign state | Oceania | 10,800 |
| 10 | Tuvalu | Sovereign state | Oceania | 11,200 |
| 11 | Wallis and Futuna | French overseas collectivity | Oceania | 11,600 |
