# U.S. Bank Routing Numbers by State (Selected Institutions)

| State / Region | Bank / Credit Union | Routing Number |
| --- | --- | --- |
| Alabama | Regions Bank | 062005690 |
| Arizona | Bank of America | 122101706 |
| California | Wells Fargo Bank | 121042882 |
| Florida | JPMorgan Chase Bank | 267084131 |
| Georgia | Truist Bank | 061000104 |
| Illinois | Fifth Third Bank | 042000314 |
| Massachusetts | Citizens Bank | 011500120 |
| New York (Downstate) | JPMorgan Chase Bank | 021000021 |
| New York (Upstate) | JPMorgan Chase Bank | 022300173 |
| Texas | PNC Bank | 043000096 |
| Washington | U.S. Bank | 125000105 |
