# Cost of Living in Japan  City-by-City Prices (Updated 2024)

| Category | Item | Tokyo (Avg) | Osaka (Avg) | Fukuoka (Avg) |
|---|---|---:|---:|---:|
| Housing | Apartment (1 bedroom) City Centre | 185,000 JPY | 120,000 JPY | 95,000 JPY |
| Housing | Apartment (1 bedroom) Outside Centre | 120,000 JPY | 85,000 JPY | 65,000 JPY |
| Utilities | Basic (electricity, heating, cooling, water, garbage) | 12,500 JPY | 11,000 JPY | 10,200 JPY |
| Utilities | Internet (60 Mbps or more, unlimited) | 4,800 JPY | 4,500 JPY | 4,300 JPY |
| Transport | Monthly Pass (public transport) | 11,000 JPY | 9,500 JPY | 7,500 JPY |
| Transport | Taxi Start (normal tariff) | 500 JPY | 500 JPY | 500 JPY |
| Groceries | Milk (1 L) | 220 JPY | 210 JPY | 205 JPY |
| Groceries | Rice (1 kg) | 520 JPY | 500 JPY | 490 JPY |
| Groceries | Eggs (12) | 310 JPY | 300 JPY | 295 JPY |
| Childcare | Preschool (full day, private, monthly) | 65,000 JPY | 55,000 JPY | 45,000 JPY |
