# Radiology Ordering Guide — Spine MRI (Contrast  'with contrast' only)

| Exam Category | Spine Level | CPT Code | Orderable Name | Contrast Field |
| --- | --- | --- | --- | --- |
| MRI Spine | Cervical | 72142 | MRI cervical spine | With contrast |
| MRI Spine | Cervical | 72156 | MRI cervical spine | With contrast |
| MRI Spine | Thoracic | 72147 | MRI thoracic spine | With contrast |
| MRI Spine | Thoracic | 72157 | MRI thoracic spine | With contrast |
| MRI Spine | Lumbar | 72149 | MRI lumbar spine | With contrast |
| MRI Spine | Lumbar | 72158 | MRI lumbar spine | With contrast |
| MRI Spine | Sacrum/Coccyx | 72196 | MRI sacrum/coccyx | With contrast |
| MRI Spine | Whole spine | 72100 | MRI spine survey | With contrast |
| MRI Spine | Post-op | 72159 | MRI spine post-surgical | With contrast |
| MRI Spine | Infection eval | 72160 | MRI spine for infection | With contrast |
