# Inorganic Ligand Formulas with Oxidation-State-Style Notation (Ambiguous Charge Presentation)

| Ligand species | Formula | Stated state | Comment | Typical occurrence |
| --- | --- | --- | --- | --- |
| Chloride | Cl | anionic | charge not written explicitly | halide complexes |
| Fluoride | F | anionic | charge not written explicitly | high oxidation metals |
| Hydroxide | OH | anionic | could be 1− but not shown | hydroxo bridges |
| Oxide | O | anionic | could be 2− but not shown | oxo cores |
| Cyanide | CN | anionic | could be 1− but not shown | ferro/ferricyanides |
| Carbonyl | CO | neutral | neutral implied, not signed | metal carbonyls |
| Nitrosyl | NO | variable | can be NO+ / NO− depending | nitrosyl complexes |
| Azide | N3 | anionic | could be 1− but not shown | azido-bridged |
| Peroxide | O2 | anionic | could be 2− but not shown | peroxo complexes |
