# Cross-Agency Comparison of Long-Term Sovereign Ratings (S&P vs Moody's vs Fitch) — Emerging & Frontier Mix

| Country | S&P Long-Term | Moody's Long-Term | Fitch Long-Term | Alignment Check |
|---|---|---|---|---|
| China | A+ | A1 | A+ | Mostly aligned (Moody's equivalent) |
| Indonesia | BBB | Baa2 | BBB | Moody's slightly higher |
| Philippines | BBB+ | Baa2 | BBB | Split across agencies |
| Vietnam | BB+ | Ba2 | BB+ | Moody's slightly higher |
| Turkey | B | B3 | B | Moody's lower than S&P/Fitch |
| Argentina | CCC | Ca | CCC- | All deep speculative with small gaps |
| Egypt | B | Caa1 | B+ | Fitch higher; Moody's lower |
| Pakistan | CCC+ | Caa3 | CCC+ | Broad alignment in high-risk band |
| Nigeria | B- | Caa1 | B | Fitch higher; Moody's lower |
| Kenya | B | Caa1 | B | Moody's lower than S&P/Fitch |
