# Publication History Timeline for Selected Newspapers

| Newspaper | Founded | Major Relaunch/Format Change | Notable Merger | Ceased/Status |
| --- | --- | --- | --- | --- |
| The Wall Street Journal | 1889 | 2007 (expanded national edition) | — | Active |
| The New York Times | 1851 | 1997 (major website launch) | — | Active |
| USA Today | 1982 | 2012 (major redesign) | — | Active |
| Los Angeles Times | 1881 | 2018 (ownership change era) | — | Active |
| Toronto Star | 1892 | 2016 (digital subscription push) | — | Active |
| The Globe and Mail | 1844 | 2010 (paywall launch) | 1936 (historic merger) | Active |
| La Presse | 1884 | 2018 (digital-only weekday strategy) | — | Active |
| Corriere della Sera | 1876 | 1996 (online edition launch) | — | Active |
| la Repubblica | 1976 | 2019 (editorial restructuring) | — | Active |
| La Stampa | 1867 | 2016 (integration with news networks) | 2019 (group consolidation) | Active |
