# WQRS-TV — Pay-TV platform carriage (cable vs satellite) with availability flags

| Platform Type | Provider | Primary Market | Channel (SD) | Channel (HD) | Availability | Lineup/Footnote |
| --- | --- | --- | --- | --- | --- | --- |
| Cable | Xfinity (Comcast) | Boston, MA | 23 | 823 | Available | Some towns map to different headends |
| Cable | Spectrum | Los Angeles, CA | 15 | 1015 | Available | Listed under "Local Broadcast" |
| Cable | Cox | Las Vegas, NV | 11 | 1011 | Available | Included with "Starter" tier |
| Cable | Frontier Fiber TV | Tampa, FL | 7 | 507 | Unavailable | Station not carried in this system |
| Cable | RCN (Astound) | Chicago, IL | 9 | 609 | Available | HD only on digital lineup |
| Cable | WOW! | Columbus, OH | 8 | 208 | Available | Retrans consent renewed 2025 |
| Satellite | DirecTV | Atlanta, GA | 36 | 1036 | Available | Only in-market locals |
| Satellite | Dish Network | Atlanta, GA | 27 | 827 | Available | Locals package required |
| Cable | Midco | Fargo, ND | 4 | 604 | Available | Channel placement differs by county |
