# Carbonyl- and Carboxyl-Related Oxygen Functional Groups  Naming Patterns and Key Motifs

| Functional group (specific) | Core motif (ASCII) | General formula | Common IUPAC suffix | Common IUPAC prefix | Distinguishing feature / compare |
|---|---|---|---|---|---|
| Aldehyde | R–C(=O)H | RCHO | -al | formyl- / oxo- | Terminal carbonyl with H (vs ketone has two carbon substituents) |
| Ketone | R–C(=O)–R' | RCOR' | -one | oxo- | Internal carbonyl; position numbered |
| Carboxylic acid | R–C(=O)OH | RCO2H | -oic acid | carboxy- | Carbonyl + OH; acidic proton |
| Ester | R–C(=O)OR' | RCOOR' | -oate | alkoxycarbonyl- | Acid derivative; OR' replaces OH |
| Thioester (oxygen-containing carbonyl class comparison) | R–C(=O)SR' | RCOSR' | -thioate (context) | (alkylthio)carbonyl- | Still has carbonyl O; leaving group is SR' (compare to ester OR') |
| Acid anhydride | (RCO)–O–(COR') | (RCO)2O | -oic anhydride | (acyl)oxycarbonyl- (context) | Two acyl groups share an O |
| Acyl halide | R–C(=O)Cl (or Br) | RCOX | -oyl halide | halocarbonyl- | Very reactive acid derivative; X is halogen |
| Amide | R–C(=O)NH2 / NHR / NR2 | RCONH2 etc. | -amide | carbamoyl- | Carbonyl attached to N; less electrophilic than acyl halide/anhydride |
| Carboxylate (salt/anion) | R–C(=O)O− | RCO2− | -oate (as salt) | carboxylate- (informal) | Deprotonated carboxylic acid; resonance-stabilized |
| Lactone | cyclic R–C(=O)–O– | (cyclic ester) | -lactone (common) | (oxa-/oxo- naming in IUPAC) | Intramolecular ester (ring), compare to acyclic ester |
| Carbonate ester | RO–C(=O)–OR' | ROC(O)OR' | -carbonate | (alkoxy)carbonyl- | Two alkoxy groups attached to carbonyl carbon |
| Carbamate (urethane) | RO–C(=O)–NR2 | ROCONR2 | -carbamate | carbamoyloxy- | Mixed ester/amide: OR and NR on same carbonyl |
