# Common Spring Wire Materials — Standards and Heat Treatment Practices

| Material | Typical Product Form | Common Standard | Typical Heat Treatment/Process | Surface Treatment | Remarks |
|---|---|---|---|---|---|
| Music Wire | Cold-drawn wire | ASTM A228 | Stress-relief after coiling | Oil, phosphate | High quality wire springs |
| Hard-Drawn Steel Wire | Cold-drawn wire | ASTM A227 | Stress-relief | Zinc plating optional | Lower cost general springs |
| Oil-Tempered Wire | Wire | ASTM A229/A232 | Oil quench + temper | Shot peen common | Better fatigue vs hard-drawn |
| Chrome-Silicon Steel | Wire/bar | ASTM A401 | Austemper or Q&T | Shot peen + preset | Valve springs, high stress |
| Chrome-Vanadium Steel | Bar | SAE 6150 | Quench and temper | Black oxide | Heavy-duty springs |
| 302 Stainless | Wire | ASTM A313 | Solution anneal, cold work | Passivation | Corrosion resistant |
| 17-7PH Stainless | Strip/wire | ASTM A313/AMS | Precipitation harden (RH950 etc.) | Passivation | High strength stainless springs |
| Phosphor Bronze | Wire/strip | ASTM B159 | Stress relief | Tin plating | Electrical spring contacts |
| Beryllium Copper | Strip/wire | ASTM B194 | Age harden | Nickel plating | High conductivity springs |
| Inconel X-750 | Wire/strip | AMS 5698 | Solution + age | Oxidation resistant | High-temp springs |
| Titanium Grade 5 | Wire/bar | ASTM B348 | Solution treat + age (varies) | Anodize | Corrosion resistant, light |
| PEEK | Machined strip | — | Anneal after machining | — | Polymer spring elements |
