# Central Bank Benchmark Policy Rates by Country (Selected Economies)

| Country | Central bank | Benchmark policy rate (%) |
|---|---|---:|
| United States | Federal Reserve (Fed) | 5.50 |
| Euro area | European Central Bank (ECB) | 4.50 |
| United Kingdom | Bank of England (BoE) | 5.25 |
| Japan | Bank of Japan (BoJ) | 0.10 |
| Canada | Bank of Canada (BoC) | 5.00 |
| Australia | Reserve Bank of Australia (RBA) | 4.35 |
| Brazil | Banco Central do Brasil (BCB) | 11.75 |
| India | Reserve Bank of India (RBI) | 6.50 |
| South Africa | South African Reserve Bank (SARB) | 8.25 |
