# List of Roman emperors
> The Dominate

| Portrait | Name | Birth | Succession | Reign | Death | Time in office |
| --- | --- | --- | --- | --- | --- | --- |
|  | Theodosius I FLAVIVS THEODOSIVS AVGVSTVS | January 11, 347 AD, Cauca , Hispania | Son-in-law of Valentinian I, appointed as Augustus for the east by Gratian after the death of Valens ; became sole 'senior' Augustus after death of Valentinian II | January 1, 379 AD – January 17, 395 AD | January 17, 395 AD Natural causes | 16 years and 16 days |
|  | Arcadius FLAVIVS ARCADIVS AVGVSTVS EAST | c. 377 AD, Hispania | Son of Theodosius I ; appointed as 'junior' Augustus for the east by Theodosius in 383; became 'senior' Augustus for the east after his father's death | January 383 AD – May 1, 408 AD | May 1, 408 AD Natural causes | 25 years |
|  | Magnus Maximus with Flavius Victor WEST | c. 335 AD, Hispania | Usurper in the West; legitimized along with his son Victor by Theodosius I as emperors of Britannia and Gaul . | 383/384 AD – August 28, 388 AD | August 28, 388 AD Executed by Theodosius I in Aquileia after the Battle of the Save ; Victor killed by Arbogast | 4/5 years |
|  | Honorius FLAVIVS HONORIVS AVGVSTVS WEST | September 9, 384 AD, ? | Son of Theodosius I ; appointed as 'junior' Augustus for the west by Theodosius in 393 (after the death of Valentinian II ); became 'senior' Augustus for the west after his father's death | January 23, 393 AD – August 15, 423 AD | August 15, 423 AD Natural causes | 30 years, 6 months and 23 days |
|  | Theodosius II FLAVIVS THEODOSIVS AVGVSTVS EAST | April 10, 401 AD, Constantinople ? | Son of Arcadius ; appointed as 'junior' Augustus for the east by Arcadius in 402; became 'senior' Augustus for the east after his father's death | January 402 AD – July 28, 450 AD | July 28, 450 AD Injuries suffered during a hunting accident | 48 years |
|  | Constantine III with Constans II WEST | ? | Usurper who declared himself emperor in the west in 407, recognized as co-emperor by Honorius in 409. Elevated his son Constans II to co-emperor in 409, who was not recognized by Honorius. | 407/409 AD - August or September 411 AD | August or September 411 AD Executed by Constantius III | 2 years |
|  | Constantius III FLAVIVS CONSTANTIVS AVGVSTVS WEST | ?, Naissus , Moesia Superior | Married to Theodosius I 's daughter Galla Placidia , elevated to co-Augustus for the west by Honorius | February 8, 421 AD – September 2, 421 AD | September 2, 421 AD Natural causes | 6 months and 25 days |
|  | Joannes WEST | ? | A senior civil servant under Honorius , proclaimed emperor by Castinus ; not recognized by the Eastern Empire | August 27, 423 AD – May 425 AD | June or July 425 AD Defeated in battle by Theodosius II and Valentinian III , captured and executed | 2 years |
|  | Valentinian III FLAVIVS PLACIDIVS VALENTINIANVS AVGVSTVS WEST | July 2, 419 AD, Ravenna , Italia | Son of Constantius III , appointed Caesar for the west by Theodosius II after the death of Honorius , in opposition to the regime of Joannes ; became Augustus for the west after the defeat of Joannes | October 23, 424 AD – March 16, 455 AD | March 16, 455 AD Assassinated, possibly at the behest of Petronius Maximus | 30 years, 3 months and 24 days |
|  | Marcian FLAVIVS MARCIANVS AVGVSTVS EAST | 396, Thrace or Illyria | Nominated as successor (and husband) by Pulcheria , sister of Theodosius II | Summer 450 AD – January 457 AD | January 457 AD Natural causes | 7 years |
