# UFC Title Reigns (Current & Historical) by Division — Event-by-Event Timeline

| Weight Class | Champion | Won Title (Event) | Date | First Defense (Event) | Result | Notes |
| --- | --- | --- | --- | --- | --- | --- |
| Flyweight | Demetrious Johnson | UFC 152 (vs. Benavidez) | 2012-09-22 | UFC on FOX 6 (vs. Dodson) | Win | Includes defense details rather than a simple start date |
| Bantamweight | Dominick Cruz | UFC Fight Night 81 | 2016-01-17 | UFC 199 | Win | Defense list begins immediately |
| Featherweight | Conor McGregor | UFC 194 | 2015-12-12 | — | — | Mentions event context as primary |
| Lightweight | Rafael dos Anjos | UFC 185 | 2015-03-14 | UFC on FOX 19 | Loss | Timeline format emphasizes events |
| Welterweight | Robbie Lawler | UFC 181 | 2014-12-06 | UFC 189 | Win | Includes defense metadata |
| Middleweight | Michael Bisping | UFC 199 | 2016-06-04 | UFC 204 | Win | Adds fight-by-fight narrative |
| Light Heavyweight | Jon Jones (Interim) | UFC 197 | 2016-04-23 | — | — | Interim title explained in notes |
| Heavyweight | Cain Velasquez | UFC 155 | 2012-12-29 | UFC 160 | Win | Uses a reign timeline with defenses |
| Women’s Strawweight | Joanna Jędrzejczyk | UFC 185 | 2015-03-14 | UFC 188 | Win | Defense list included |
| Women’s Bantamweight | Miesha Tate | UFC 196 | 2016-03-05 | UFC 200 | Loss | Event-driven format |
| Women’s Featherweight | Germaine de Randamie | UFC 208 | 2017-02-11 | — | — | Focus on event chronology rather than “since” |
