# Mickey Mouse Clubhouse — Speaking Cast by Billing (Regulars vs. Recurring)

| Cast tier | Voice actor | Characters voiced in the series | Type |
|---|---|---|---|
| Regular | Wayne Allwine | Mickey Mouse | Speaking role |
| Regular | Russi Taylor | Minnie Mouse | Speaking role |
| Regular | Tony Anselmo | Donald Duck | Speaking role |
| Regular | Tress MacNeille | Daisy Duck | Speaking role |
| Regular | Bill Farmer | Goofy; Pluto (vocal effects) | Speaking + vocal effects |
| Recurring | Corey Burton | Professor Ludwig Von Drake; Dale | Speaking role |
| Recurring | April Winchell | Clarabelle Cow | Speaking role |
| Recurring | Rob Paulsen | Toodles | Speaking role |
| Recurring | Tress MacNeille | Chip (in select appearances) | Speaking role |
| Guest/Varies | Jim Cummings | Pete (in some productions/episodes) | Speaking role, varies by episode |
| Guest/Varies | Various child actors | Guest kids / one-off children characters | Speaking roles, episode-specific |
