# State Capital Gains Tax Treatment (Selected States) — Short-Term vs Long-Term Comparison

| Region | State | State Income Tax System | Short-Term Capital Gains Rate (Top) | Long-Term Capital Gains Rate (Top) | Treatment Notes |
| --- | --- | --- | --- | --- | --- |
| West | California | Graduated income tax | Same as ordinary income (up to 13.3%) | Same as ordinary income (up to 13.3%) | No preferential state rate for long-term gains |
| West | Washington | No broad wage income tax; capital gains excise | N/A (excise structure) | 7.0% (state capital gains excise, above threshold) | Applies to certain long-term gains; not a general income tax |
| West | Oregon | Graduated income tax | Same as ordinary income (up to 9.9%) | Same as ordinary income (up to 9.9%) | No separate long-term rate |
| Southwest | Texas | No state income tax | 0% | 0% | No state tax on capital gains (state level) |
| Mountain | Colorado | Flat income tax | Same as ordinary income (flat 4.4%) | Same as ordinary income (flat 4.4%) | Capital gains taxed as ordinary income |
| Midwest | Illinois | Flat income tax | Same as ordinary income (flat 4.95%) | Same as ordinary income (flat 4.95%) | No preferential long-term treatment |
| Northeast | New York | Graduated income tax | Same as ordinary income (up to 10.9%) | Same as ordinary income (up to 10.9%) | Local NYC tax may apply for residents |
| Northeast | Pennsylvania | Flat income tax | Same as ordinary income (flat 3.07%) | Same as ordinary income (flat 3.07%) | No preferential long-term rate |
| Southeast | Florida | No state income tax | 0% | 0% | No state tax on capital gains |
| Mid-Atlantic | New Jersey | Graduated income tax | Same as ordinary income (up to 10.75%) | Same as ordinary income (up to 10.75%) | No preferential long-term treatment |
