# Major Oxides in the Earth's Continental Crust (Typical Composition)

| Oxide (Compound) | Formula | Average wt.% | Range (wt.%) | Notes |
|---|---|---:|---:|---|
| Silicon dioxide | SiO2 | 60.2 | 57–66 | Dominant crustal oxide |
| Aluminum oxide | Al2O3 | 15.4 | 13–18 | Major in feldspars |
| Calcium oxide | CaO | 6.3 | 4–8 | Higher in mafic rocks |
| Magnesium oxide | MgO | 4.4 | 2–7 | Associated with olivine/pyroxene |
| Iron(II) oxide | FeO | 6.8 | 4–9 | Often reported as total FeO* |
| Sodium oxide | Na2O | 3.1 | 2–4 | Albite-rich crust |
| Potassium oxide | K2O | 2.8 | 1–4 | Enriched in granites |
| Titanium dioxide | TiO2 | 0.7 | 0.3–1.2 | Accessory minerals |
| Phosphorus pentoxide | P2O5 | 0.2 | 0.1–0.4 | Apatite component |
| Manganese oxide | MnO | 0.1 | 0.05–0.2 | Minor constituent |
| Loss on ignition | H2O+CO2 | 0.9 | 0.3–2.0 | Volatiles/clays/carbonates |
