# RCP-Style Tracker — GOP Primary Polling Fieldwork Log (No Results Shown)

| Contest | Pollster | Mode | Sample (RV/LV) | Field Dates | Sponsor/Notes |
|---|---|---|---|---|---|
| 2016 Republican Presidential Nomination | Pew Research | Phone | 1,500 RV | Apr 7–10, 2016 | National sample |
| New York Republican Presidential Primary | FOX News | Phone | 1,004 RV | Apr 11–14, 2016 | Statewide |
| Pennsylvania Republican Presidential Primary | PPP (D) | IVR | 600 RV | Apr 9–10, 2016 | Partisan sponsor |
| Indiana Republican Presidential Primary | WTHR/Howey | Mixed | 650 RV | Apr 12–13, 2016 | Local media |
| Maryland Republican Presidential Primary | NBC 4/Marist | Phone | 820 RV | Apr 6–8, 2016 | Regional |
| California Republican Presidential Primary | FOX News | Phone | 1,100 RV | Apr 13–16, 2016 | Statewide |
| West Virginia Republican Presidential Primary | MetroNews | Phone | 500 RV | Apr 10–12, 2016 | In-state poll |
| Connecticut Republican Presidential Primary | Quinnipiac | Phone | 780 RV | Apr 8–11, 2016 | Statewide |
| New Jersey Republican Presidential Primary | Monmouth | Phone | 700 RV | Apr 5–7, 2016 | Statewide |
| Wisconsin Republican Presidential Primary | Marquette | Phone | 900 RV | Mar 29–31, 2016 | University poll |
