# Whether a Federal Extension Is Accepted for State Returns (Automatic vs Form Required) and the Resulting State Filing Deadline

| State | Does the State Accept the Federal Extension? | State Action Needed to Get the Extension | Extension Request Due Date (Typically) | Final Filing Deadline After Extension (Typically) | Notes |
|---|---|---|---|---|---|
| Indiana | Yes (tied to federal extension) | Often automatic when federal extension is filed; keep proof | Apr 15 | Oct 15 | If you owe tax, payment generally still due by original date |
| Iowa | Yes | Automatic (no separate state form) | Apr 15 | Oct 15 | Extension is for filing only |
| Illinois | Yes | Automatic (no separate state form) | Apr 15 | Oct 15 | If tax is due, pay by original due date to reduce penalties |
| Idaho | Yes | Automatic (no separate state form) | Apr 15 | Oct 15 | State may require interest on unpaid balance |
| Virginia | No / Not always automatic | State extension form or request may be required | May 1 | Nov 1 | Some states use non-April original deadlines; verify payment requirements |
| New Jersey | Partially (conditions apply) | May require state extension filing and/or payment | Apr 15 | Oct 15 | Failure to meet state conditions can void the extension |
| Ohio | No / Not automatic | File state extension if needed | Apr 15 | Oct 15 | Extension extends filing time only |
| Pennsylvania | Yes (with conditions) | Federal extension may be accepted; state may require copy if filing paper | Apr 15 | Oct 15 | If you don’t have a federal extension, file state extension |
| Georgia | Yes (commonly accepted) | Often automatic when federal extension is filed | Apr 15 | Oct 15 | Payment is still due by original due date |
| Missouri | Yes (conditions apply) | Federal extension can support state extension; may need documentation | Apr 15 | Oct 15 | Keep records showing federal extension approval |
| Arizona | Yes | Automatic if federal extension is filed | Apr 15 | Oct 15 | State may request confirmation if audited |
| Colorado | Yes | Automatic (state recognizes federal extension) | Apr 15 | Oct 15 | Filing is extended; tax payment timing rules still apply |
