# Common Molecules and Their Observed VSEPR Shapes (Examples Only)

| Molecule | Central atom | Reported molecular shape | Approx. bond angle(s) | Notes |
| --- | --- | --- | --- | --- |
| CO2 | C | Linear | 180° | Gas-phase molecule |
| SO2 | S | Bent | ~119° | Resonance present |
| NH3 | N | Trigonal pyramidal | ~107° | Polar molecule |
| H2O | O | Bent | 104.5° | Strongly polar |
| PCl5 | P | Trigonal bipyramidal | 90°, 120° | Expanded octet |
| SF6 | S | Octahedral | 90° | Hypervalent |
| ClF3 | Cl | T-shaped | ~87°, ~175° | Interhalogen |
| XeF4 | Xe | Square planar | 90° | Noble-gas compound |
| BrF5 | Br | Square pyramidal | ~84°, ~176° | Interhalogen |
