# Holding Times for Cooked Prepared Foods  Fridge vs Freezer (Quick Decision Table)

| Dish type | Example cooked leftovers | Refrigerator time | Freezer time | Quality tips |
|---|---|---|---|---|
| Cooked rice & grain dishes | Cooked rice pilaf, fried rice (cooled) | 3–4 days | 1–2 months | Cool fast; reheat thoroughly |
| Cooked pasta dishes | Lasagna, baked ziti | 3–4 days | 2–3 months | Slice portions before freezing |
| Cooked poultry dishes | Chicken curry, turkey chili (with meat) | 3–4 days | 2–3 months | Saucy dishes freeze better |
| Cooked beef/pork dishes | Meatballs in sauce, pulled pork | 3–4 days | 2–3 months | Remove excess air to avoid freezer burn |
| Cooked seafood dishes | Shrimp stir-fry, cooked salmon | 3–4 days | 2–3 months | Eat sooner for best flavor |
| Cooked soups (cream-based) | Cream of mushroom soup | 3–4 days | 1–2 months | May separate; whisk when reheating |
| Cooked soups (broth-based) | Chicken noodle soup | 3–4 days | 2–3 months | Noodles can soften; freeze without pasta if possible |
| Cooked vegetables in sauce | Ratatouille, sautéed veg | 3–5 days | 2–3 months | High-water veg soften after thawing |
| Cooked breakfast items | Pancakes/waffles (cooked) | 3–5 days | 1–2 months | Freeze flat then bag |
| Cooked baked goods (savory) | Pizza slices (cooked) | 3–4 days | 1–2 months | Wrap individually for easy reheating |
| Cooked stuffing & sides | Stuffing/dressing, mashed potatoes | 3–4 days | 1–2 months | Dairy-rich sides may change texture |
