# 2008 NASCAR Craftsman Truck Series
> Races

| Pos | No. | Driver | Manu. | Team |
| --- | --- | --- | --- | --- |
| 1 | 33 | Ron Hornaday | Chevrolet | Kevin Harvick Incorporated |
| 2 | 2 | Jack Sprague | Chevrolet | Kevin Harvick Incorporated |
| 3 | 6 | Colin Braun | Ford | Roush Fenway Racing |
| 4 | 23 | Johnny Benson | Toyota | Bill Davis Racing |
| 5 | 5 | Mike Skinner | Toyota | Bill Davis Racing |
| 6 | 10 | Brendan Gaughan | Ford | Circle Bar Racing |
| 7 | 8 | Chad McCumbee | Chevrolet | MRD Motorsports |
| 8 | 22 | Scott Speed | Toyota | Bill Davis Racing |
| 9 | 14 | Rick Crawford | Ford | Circle Bar Racing |
| 10 | 59 | Ted Musgrave | Toyota | HT Motorsports |
