# Fetal Growth Milestones  Weight and Length by Pregnancy Week (Simplified Chart)

| Pregnancy week | Estimated length (cm) | Estimated weight (g) | Measurement basis |
| --- | --- | --- | --- |
| 18 weeks | 20–22 | 190–240 | Head-to-heel estimate |
| 20 weeks | 24–26 | 300–380 | Head-to-heel estimate |
| 22 weeks | 27–29 | 430–520 | Head-to-heel estimate |
| 24 weeks | 30–32 | 600–750 | Head-to-heel estimate |
| 26 weeks | 34–36 | 800–950 | Head-to-heel estimate |
| 28 weeks | 37–39 | 1000–1200 | Head-to-heel estimate |
| 30 weeks | 40–41 | 1300–1550 | Head-to-heel estimate |
| 32 weeks | 42–43 | 1600–1900 | Head-to-heel estimate |
| 34 weeks | 44–45 | 2100–2400 | Head-to-heel estimate |
| 36 weeks | 46–47 | 2600–3000 | Head-to-heel estimate |
| 38 weeks | 48–50 | 3100–3500 | Head-to-heel estimate |
| 40 weeks | 50–52 | 3200–3800 | Head-to-heel estimate |
