# Chess prodigy
> List of youngest grandmasters

| Year | Player | Country | Age |
| --- | --- | --- | --- |
| 1950 | David Bronstein | Soviet Union | 26 years |
| 1952 | Tigran Petrosian | Soviet Union | 23 years |
| 1955 | Boris Spassky | Soviet Union | 18 years |
| 1958 | Bobby Fischer | United States | 15 years, 6 months, 1 day |
| 1991 | Judit Polgár | Hungary | 15 years, 4 months, 28 days |
| 1994 | Péter Lékó | Hungary | 14 years, 4 months, 22 days |
| 1997 | Étienne Bacrot | France | 14 years, 2 months, 0 days |
| 1997 | Ruslan Ponomariov | Ukraine | 14 years, 0 months, 17 days |
| 1999 | Bu Xiangzhi | China | 13 years, 10 months, 13 days |
| 2002 | Sergey Karjakin | Ukraine | 12 years, 7 months, 0 days |
